TaskID,Sequence,Stage,Type,Priority,Title,SourceSection,P0ID,Dependencies,Deliverable,Acceptance,TestTypes,Status,EvidenceStatus,Owner,GitHubIssue,SuggestedBranch,Branch,CommitSHA,PullRequest,CI,HumanGate,Rollback,UpdatedAt,Notes
M0-011,11,M0,FOUNDATION,P0,建立pnpm verify与GitHub CI门禁,§15工程化要求、提示词包AGENTS.md,,M0-010,聚合lint/typecheck/unit/api/e2e/prisma/openapi-generate/diff/type/oasdiff/build并接入PR CI；第三方Action固定提交SHA。,最新提交产生逐项可追溯结果；spec或类型未提交差异、breaking变更、浮动Action版本和失败检查均不能被静默跳过。,lint+typecheck+unit+api+e2e+migration+openapi+action-pin+ci,DONE,LOCAL_PASS,CODEX,,codex/m0-pnpm-verify-github-ci,codex/m0-pnpm-verify-github-ci,6033fa14d52ab8ef847bfcb275747ec94d0c904a,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-03T00:49:56-04:00,契约先红0/6后绿6/6并扩展至7/7；根pnpm verify在实现提交上以父提交为不可变基线17/17通过；冻结干净安装后全量verify通过；四个Action固定40位提交SHA；M0无映射P0故仅输出明确不适用标记；无origin故PR和Actions保持NOT_EXECUTED/BLOCKED_EXTERNAL。
M0-012,12,M0,FOUNDATION,P0,形成M0交接证据包,§15工程化要求、提示词包AGENTS.md,,M0-011,登记命令、时间、提交、CI、文件、风险、回滚和人工缺口。,另一Codex任务可从project-status继续且不重新规划边界。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-m0,codex/m0-m0-handoff,a98c6edcbb356cd8b3209cf2695b44f36655bc93,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-03T02:41:34-04:00,交接契约先红0/3后绿3/3；源提交完整pnpm verify 17/17通过；M0-001至M0-011的提交/文件/交接证据哈希、风险、回滚、恢复命令和4项人工缺口已汇总；M0无业务P0；无origin故PR和Actions保持NOT_EXECUTED/BLOCKED_EXTERNAL；阶段结论为待M0-GATE。
M0-GATE,13,M0,STAGE_GATE,P0,M0阶段门禁验收,执行包§02,,"M0-001,M0-002,M0-003,M0-004,M0-005,M0-006,M0-007,M0-008,M0-009,M0-010,M0-011,M0-012",M0阶段交接记录、最新质量输出和未决人工事项,pnpm verify骨架、固定SHA的CI模板、环境清单、确定性OpenAPI/统一类型/Web与小程序传输适配/错误码/字段字典基线、迁移演练和M0交接证据齐全。,pnpm-verify+migration-dry-run+openapi-generate+oasdiff+ci,DONE,CI_PASS,EasyStep-lee,1,codex/m0-m0,codex/m0-m0-handoff,88b7a051300af763941c3e0ad0428111869f0182,2,CI_PASS,YES,按原子提交回退；迁移仅向前修复,2026-08-03T22:36:19-04:00,精确head cb3203c已完成DOCUMENTED_SELF_REVIEW并授权合并；PR #2 merge commit为88b7a051；main CI run 30872133076成功；M0业务P0为NOT_APPLICABLE；已知GitHub治理限制与Dependabot WARN保留但不冒充修复。
M1-000,14,M1,CONTRACT_SLICE_PLAN,P0,冻结M1字段、状态机、权限与契约切片,执行包字段/状态机/权限/API台账,,M0-GATE,把M1涉及的字段、状态、DTO、错误码、权限、P0和失败测试细化为可编码契约,所有本阶段开发任务可追踪到冻结契约；未决业务决定进入人工事项，不在代码中猜测。,contract-review+negative-test-plan,DONE,LOCAL_PASS,CODEX,,codex/m1-m1,codex/m1-m1,d7881624dc2c001581d46ec2e1089a09a1f93829,,NOT_EXECUTED,NO,按原子提交回退；迁移仅向前修复,2026-08-03T23:55:30-04:00,契约测试先红0/4后绿6/6；冻结109字段、15条状态迁移、18类职能账号、24个后台入口/工作区页面壳、13个M1 API定义和53个负面测试ID；实现提交d788162；业务API/迁移/页面均未实现；PR与CI仍为NOT_EXECUTED。
M1-P001,15,M1,BUSINESS_VERTICAL_SLICE,P0,单商户主体,§3角色权限、§4供应商后台、§14安全审计,P0-001,M1-000,完成“单商户主体”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,前台销售主体、订单收款主体、退款主体均为江苏福礼团供应链科技有限公司。,unit+api+p0-e2e,DONE,CI_PASS,CODEX,,codex/m1-m1-p001,codex/m1-m1-p001,7eb91066846204a18afa20c4c8b4c7b94676dca0,8,CI_PASS,NO,按原子提交回退；迁移仅向前修复,2026-08-05T03:56:26Z,先红后绿；实现提交9d7d763，本地17/17；精确head 7eb9106的PR #8 CI、自审授权、合并及合并后main CI均通过；合并提交c2b4bf4；EXT-005未提供
M1-P002,16,M1,BUSINESS_VERTICAL_SLICE,P0,无加盟商,§3角色权限、§4供应商后台、§14安全审计,P0-002,M1-000,完成“无加盟商”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,系统无加盟商注册、区域分账、加盟合同和加盟商后台入口。,unit+api+p0-e2e,DONE,CI_PASS,CODEX,,codex/m1-m1-p002,codex/m1-m1-p002,fb3c7a5e311d4472778eb63f9ef7351182ddc010,9,CI_PASS,NO,按原子提交回退；迁移仅向前修复,2026-08-05T07:51:26Z,先红后绿；本地与PR精确head均17/17；PR #9精确head自审授权后合并为6f0adf8；main CI run 30986393602通过；无新增Schema/迁移/OpenAPI/DTO/页面
M1-P003,17,M1,AUTHORIZATION,P0,供应商注册,§3角色权限、§4供应商后台、§14安全审计,P0-003,M1-000,完成“供应商注册”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,供应商可注册、补资料、提交审核，并看到草稿、待审、补正、启用等状态。,unit+api+p0-e2e,DONE,CI_PASS,CODEX,,codex/m1-m1-p003,codex/m1-m1-p003,d7067a59f1bc66680121d9e2b38e04cb3083dee2,10,CI_PASS,NO,按原子提交回退；迁移仅向前修复,2026-08-05T06:28:46-04:00,PR #10精确head d7067a5 CI run 30996623719成功；文档化自审授权后合并为171e196；合并后main CI run 30997274654成功；EXT-006与预发布/生产/正式验收仍未执行
M1-P004,18,M1,AUTHORIZATION,P0,供应商隔离,§3角色权限、§4供应商后台、§14安全审计,P0-004,"M1-000,M1-P003",完成“供应商隔离”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,供应商不能访问其他供应商的商品、订单、库存、对账和账号。,unit+api+p0-e2e+concurrency+idempotency+failure-recovery+authorization+response-whitelist,DONE,LOCAL_PASS,CODEX,https://github.com/EasyStep-lee/flt1/issues/11,codex/m1-m1-p004,codex/m1-m1-p004,a33af8067c1ac17251223682a588a85292038630,12,NOT_EXECUTED,NO,按原子提交回退；无新增迁移,2026-08-05T07:24:10-04:00,先红后绿；范围策略3/3、供应商API 9/9、OpenAPI确定性、Prisma校验与现有3条迁移演练、pnpm verify 17/17；PR #12旧head d75f516 CI通过后合并前复核发现并补齐submit-review 403 OpenAPI/台账契约，新head仍须完整CI；真实资源接口仍属后续切片
M1-P005,19,M1,AUTHORIZATION,P0,供应商职能账号,§3角色权限、§4供应商后台、§14安全审计,P0-005,"M1-000,M1-P003",完成“供应商职能账号”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,主体、商品、价格、库存、履约、售后、财务和审计分别使用独立职能账号与固定页面，敏感账户变更需二次验证。,unit+api+p0-e2e+authorization+response-whitelist,DONE,CI_PASS,CODEX,https://github.com/EasyStep-lee/flt1/issues/13,codex/m1-m1-p005,codex/m1-m1-p005,2e9846b1872463805c29128414bdfb927b514ad9,14,CI_PASS,YES,按原子提交回退；迁移仅向前修复,2026-08-05T21:46:52-04:00,PR #14精确head 2e9846b的CI run 31007483633通过；用户授权后合并为a128a6f；合并后main CI run 31063510585通过；生产适配/迁移和正式验收未执行
M1-P045,20,M1,SECURITY,P0,敏感操作审计,§3角色权限、§4供应商后台、§14安全审计,P0-045,M1-000,完成“敏感操作审计”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,退款、强制下架、银行账户变更和付款标记均记录操作人及前后值。,unit+api+p0-e2e+authorization+response-whitelist,DONE,CI_PASS,CODEX,https://github.com/EasyStep-lee/flt1/issues/15,codex/m1-m1-p045,codex/m1-m1-p045,91c9a73f17db46d88aaad6590a7a3d39d63c786e,16,CI_PASS,YES,按原子提交回退；迁移部署后仅向前修复,2026-08-05T23:08:26-04:00,PR #16精确head 91c9a73 CI run 31066656197通过；用户按精确head授权后合并为de6957be；合并后main CI run 31067369336通过；后续四类业务动作仍仅冻结代码
M1-P046,21,M1,SECURITY,P0,敏感数据隔离,§3角色权限、§4供应商后台、§14安全审计,P0-046,"M1-000,M1-P045",完成“敏感数据隔离”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,跑腿员只在个人订单履约阶段看到必要地址；供应价和供应商结算数据仅公司价格审核/财务页面及对应供应商价格/财务页面可见，其他职能页面、个人端、企业端、跑腿端和其他供应商越权请求均不返回敏感字段。,unit+api+p0-e2e+authorization+response-whitelist,DONE,CI_PASS,CODEX,https://github.com/EasyStep-lee/flt1/issues/17,codex/m1-m1-p046,codex/m1-m1-p046,1dd9074e88e8b1eb16699556648edd6b16ad9a11,18,CI_PASS,YES,按原子提交回退；迁移部署后仅向前修复,2026-08-06T00:03:27-04:00,PR #18精确head 1dd9074的CI通过；用户授权转Ready并合并为7637fe3；合并后main CI run 31070163062通过；M4真实跑腿履约接入需后续复验；预发布/生产未执行
M1-P047,22,M1,SECURITY,P0,OpenAPI 与响应白名单,§3角色权限、§4供应商后台、§14安全审计,P0-047,"M1-000,M1-P046",完成“OpenAPI 与响应白名单”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,各端接口有权限、请求、响应、幂等和用户可读错误码；spec 由后端 @nestjs/swagger 经确定性脚本生成，openapi-typescript 生成统一类型；Web 使用 openapi-fetch，原生小程序使用同类型的 wx.request 适配器。CI 校验 spec/类型无未提交差异、全端类型检查通过，并以锁定版本的 oasdiff 阻断破坏性变更；对客 DTO 和响应契约测试禁止 supplyPrice、approvedSupplyPrice、supplyPriceSnapshot、供应商应付及毛利字段。,unit+api+p0-e2e+authorization+response-whitelist+deterministic-openapi+oasdiff+miniapp-adapter,DONE,CI_PASS,CODEX,https://github.com/EasyStep-lee/flt1/issues/19,codex/m1-m1-p047,codex/m1-m1-p047,2a0791976a8190d7668d98f2bd808e78073582cc,20,CI_PASS,YES,按原子提交回退；无新增迁移,2026-08-06T02:32:18-04:00,PR #20精确head 2a07919的CI run 31076242739通过；用户授权转Ready并合并为9931842；合并后main CI run 31076692902通过；预发布/生产/正式验收未执行
M1-P066,23,M1,UI_VERTICAL_SLICE,P0,公司后台登录与职能选择,§3角色权限、§4供应商后台、§14安全审计,P0-066,"M1-000,M1-P005",完成“公司后台登录与职能选择”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,公司后台使用独立登录入口且不开放公众注册；只有一个职能账号时直达固定页面，同一人员拥有多个职能账号时先进入账号选择页，每次只签发一个 functionalAccountId 会话。,unit+api+p0-e2e,IN_PROGRESS,NOT_EXECUTED,CODEX,https://github.com/EasyStep-lee/flt1/issues/21,codex/m1-m1-p066,codex/m1-m1-p066,,,,NO,按原子提交回退；迁移仅向前修复,2026-08-06T02:32:18-04:00,基于9931842启动；只做API-003/API-004与PAGE-001/PAGE-002；P066完成并通过人工合并后方可进入P067
M1-P067,24,M1,UI_VERTICAL_SLICE,P0,公司职能账号独立页面,§3角色权限、§4供应商后台、§14安全审计,P0-067,"M1-000,M1-P066",完成“公司职能账号独立页面”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,超级管理员、供应商运营、商品与分类运营、价格审核、订单客服、福利卡运营、财务、物流、门户编辑和审计账号分别进入固定 workspaceRoute；页面不出现其他职能菜单，手工访问其他职能路由或接口返回无权限。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m1-m1-p067,,,,,NO,按原子提交回退；迁移仅向前修复,,
M1-P068,25,M1,UI_VERTICAL_SLICE,P0,公司独立页面完整性,§3角色权限、§4供应商后台、§14安全审计,P0-068,"M1-000,M1-P067",完成“公司独立页面完整性”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,每个公司职能页面均具备自己的工作台、内部列表/筛选/详情/时间线及加载、空态、失败和无权限状态；共用组件不导致数据、菜单或会话上下文合并。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m1-m1-p068,,,,,NO,按原子提交回退；迁移仅向前修复,,
M1-P069,26,M1,UI_VERTICAL_SLICE,P0,供应商注册、登录与职能选择,§3角色权限、§4供应商后台、§14安全审计,P0-069,"M1-000,M1-P003",完成“供应商注册、登录与职能选择”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,门户供应商合作入口可进入注册和登录；审核通过后激活主体管理账号，各业务职能账号分别邀请；supplierId 由服务端绑定，同一人员多职能时必须在账号选择页逐一进入。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m1-m1-p069,,,,,NO,按原子提交回退；迁移仅向前修复,,
M1-P070,27,M1,UI_VERTICAL_SLICE,P0,供应商职能账号独立页面,§3角色权限、§4供应商后台、§14安全审计,P0-070,"M1-000,M1-P069",完成“供应商职能账号独立页面”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,主体管理、商品、价格、库存、履约、售后、财务和审计账号分别进入固定页面且只显示本职能内部菜单；兼任通过多个职能账号切换实现，不允许合并页面或权限。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m1-m1-p070,,,,,NO,按原子提交回退；迁移仅向前修复,,
M1-P072,28,M1,SECURITY,P0,后台敏感操作与审计,§3角色权限、§4供应商后台、§14安全审计,P0-072,"M1-000,M1-P045",完成“后台敏感操作与审计”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,供应价查看、供应价审批、退款复核、福利卡调整、付款登记、银行账户复核和敏感导出使用独立权限点；要求双人复核时按自然人 identityId 阻止同一人员跨职能账号自审、自批，超级管理员也不能绕过；职能账号/类型变更、登录、账号选择、查看敏感字段、导出和会话撤销均可审计。,unit+api+p0-e2e+authorization+natural-identity-separation+concurrency+audit,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m1-m1-p072,,,,,NO,按原子提交回退；迁移仅向前修复,,
M1-GATE,29,M1,STAGE_GATE,P0,M1阶段门禁验收,执行包§02,,"M1-000,M1-P001,M1-P002,M1-P003,M1-P004,M1-P005,M1-P045,M1-P046,M1-P047,M1-P066,M1-P067,M1-P068,M1-P069,M1-P070,M1-P072",M1交接记录、P0证据、质量输出、风险和回滚材料,14项主P0均有代码、迁移、契约、越权测试和证据；供应商隔离及职能路由不可绕过。,pnpm-verify+ci+stage-specific-evidence,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m1-m1,,,,,YES,按原子提交回退；迁移仅向前修复,,
M2-000,30,M2,CONTRACT_SLICE_PLAN,P0,冻结M2字段、状态机、权限与契约切片,执行包字段/状态机/权限/API台账,,M1-GATE,把M2涉及的字段、状态、DTO、错误码、权限、P0和失败测试细化为可编码契约,所有本阶段开发任务可追踪到冻结契约；未决业务决定进入人工事项，不在代码中猜测。,contract-review+negative-test-plan,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2,,,,,NO,按原子提交回退；迁移仅向前修复,,
M2-P006,31,M2,CATALOG_DOMAIN,P0,商品两层模型,§5分类模板、§6商品价格库存,P0-006,M2-000,完成“商品两层模型”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,供应商提交 SupplierProduct，公司审核后才产生/更新可售 Product/Sku。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2-p006,,,,,NO,按原子提交回退；迁移仅向前修复,,
M2-P007,32,M2,CATALOG_DOMAIN,P0,公司双页面审核上架,§5分类模板、§6商品价格库存,P0-007,"M2-000,M2-P006",完成“公司双页面审核上架”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,公司商品职能页面完成商品资料审核、公司价格审核页面完成三类初始价格审核；两项均通过前商品无法出现在前台或加入购物车。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2-p007,,,,,NO,按原子提交回退；迁移仅向前修复,,
M2-P008,33,M2,CATALOG_DOMAIN,P0,供应商独立价格页面,§5分类模板、§6商品价格库存,P0-008,"M2-000,M2-P006",完成“供应商独立价格页面”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,供应商商品页面不加载价格字段；价格职能页面自主设置供应价、平台零售价和集采销售价并提交初始价格审核，公司不得静默改价。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2-p008,,,,,NO,按原子提交回退；迁移仅向前修复,,
M2-P009,34,M2,CATALOG_DOMAIN,P0,无供应商店铺,§5分类模板、§6商品价格库存,P0-009,"M2-000,M2-P006",完成“无供应商店铺”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,不存在供应商装修页、独立结算、店铺优惠券和供应商收款入口。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2-p009,,,,,NO,按原子提交回退；迁移仅向前修复,,
M2-P010,35,M2,CATALOG_DOMAIN,P0,看他还卖什么,§5分类模板、§6商品价格库存,P0-010,"M2-000,M2-P006",完成“看他还卖什么”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,按 supplierId 筛选公司已上架商品，销售主体和统一货架不改变。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2-p010,,,,,NO,按原子提交回退；迁移仅向前修复,,
M2-P011,36,M2,CATALOG_DOMAIN,P0,分类树,§5分类模板、§6商品价格库存,P0-011,M2-000,完成“分类树”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,商品必须绑定启用的末级分类，分类支持排序、停用和历史引用保护。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2-p011,,,,,NO,按原子提交回退；迁移仅向前修复,,
M2-P012,37,M2,CATALOG_DOMAIN,P0,分类模板,§5分类模板、§6商品价格库存,P0-012,"M2-000,M2-P011",完成“分类模板”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,末级分类绑定模板版本，决定必填字段、SKU、资质和详情模块。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2-p012,,,,,NO,按原子提交回退；迁移仅向前修复,,
M2-P013,38,M2,CATALOG_DOMAIN,P0,食品详情,§5分类模板、§6商品价格库存,P0-013,"M2-000,M2-P012",完成“食品详情”纵向切片：迁移/领域规则/API/DTO/错误码/对应页面/测试/证据；不实现阶段外功能。,配料、营养、许可、保质期、储存和过敏原按模板展示。,unit+api+p0-e2e,NOT_STARTED,NOT_EXECUTED,UNASSIGNED,,codex/m2-m2-p013,,,,,NO,按原子提交回退；迁移仅向前修复,,
