ContractID,Stage,Domain,Method,Path,Actor,RequestDTO,ResponseDTO,CommonResponse,ErrorCodes,Idempotency,SensitiveFieldPolicy,MoneyRule,P0,OpenAPIStatus,DTOStatus,ErrorCodeStatus,ContractTest,Owner,Notes
API-010,M1,supplier,POST,/v1/supplier/me/submit-review,SUPPLIER_ACCOUNT_ADMIN,SubmitReviewRequestDto,ApprovalTaskResponseDto,ApprovalTaskResponseDto；错误={statusCode|code|message|details?|requestId},AUTHENTICATION_REQUIRED|ACCESS_DENIED|SUPPLIER_SCOPE_FORBIDDEN|VALIDATION_FAILED|STATE_TRANSITION_INVALID|VERSION_CONFLICT|IDEMPOTENCY_CONFLICT,Idempotency-Key,NEVER_RETURN；supplierId与申请自然人仅取服务端会话；不返回供应价或结算资料,N/A,P0-003,GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-onboarding-api.test.mjs；tests/contracts/m1-p003-supplier-onboarding.contract.test.mjs；tests/contracts/m1-p004-supplier-isolation.contract.test.mjs,CODEX,M1-P003实现提交审核；M1-P004补齐客户端归属字段篡改403契约；资料完整才创建追加式审核任务并进入PENDING_REVIEW；EXT-006正式资质规则未提供
API-011,M1,company-supplier,GET,/v1/company/suppliers,COMPANY_SUPPLIER_OPS,SupplierQueryDto,SupplierPageResponseDto,SupplierPageResponseDto；错误={statusCode|code|message|details?|requestId},AUTHENTICATION_REQUIRED|ACCESS_DENIED|VALIDATION_FAILED,NONE,NEVER_RETURN；仅公司供应商运营固定职能；信用代码脱敏；不返回联系方式/完整资质/供应价,N/A,"P0-003,P0-004",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-onboarding-api.test.mjs；tests/contracts/m1-p003-supplier-onboarding.contract.test.mjs,CODEX,M1-P003任务内契约细化；仅提供入驻状态筛选和资质摘要；生产会话解析器默认拒绝；P0-004跨供应商业务隔离未执行
API-012,M1,company-supplier,POST,/v1/company/suppliers/{supplierId}/review,COMPANY_SUPPLIER_OPS,SupplierReviewRequestDto,SupplierResponseDto,SupplierResponseDto；错误={statusCode|code|message|details?|requestId},AUTHENTICATION_REQUIRED|ACCESS_DENIED|VALIDATION_FAILED|STATE_TRANSITION_INVALID|APPROVAL_VERSION_CONFLICT|SECOND_VERIFICATION_REQUIRED|IDEMPOTENCY_CONFLICT,Idempotency-Key,NEVER_RETURN；审核自然人仅取服务端会话；DTO白名单；不返回供应价/联系方式/完整资质,N/A,P0-003,GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-onboarding-api.test.mjs；tests/contracts/m1-p003-supplier-onboarding.contract.test.mjs,CODEX,M1-P003任务内契约细化；只允许REQUEST_CORRECTION或APPROVE并按版本推进；历史状态和审核证据追加留痕
API-013,M1,functional-accounts,GET,/v1/{ownerType}/functional-accounts,OWNER_ACCOUNT_ADMIN,FunctionalAccountQueryDto,FunctionalAccountPageResponseDto,"{success,data,error:{code,message,details?},requestId}",DATA_SCOPE_FORBIDDEN|WORKSPACE_FORBIDDEN,NONE,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,N/A,"P0-005,P0-067,P0-070",GENERATED,IMPLEMENTED,IMPLEMENTED,FREEZE:tests/contracts/m1-contract-freeze.contract.test.mjs;RUNTIME:apps/api/test/supertest/supplier-functional-accounts-api.test.mjs;apps/api/test/supertest/company-workspace-api.test.mjs,CODEX,M1-P067任务内完成company归属分支；仅COMPANY_SUPER_ADMIN固定会话可列出唯一公司职能账号；供应商分支保持原合同
API-014,M1,functional-accounts,POST,/v1/{ownerType}/functional-accounts,OWNER_ACCOUNT_ADMIN,CreateFunctionalAccountRequestDto,FunctionalAccountResponseDto,"{success,data,error:{code,message,details?},requestId}",ACCOUNT_TYPE_INVALID|SECOND_VERIFICATION_REQUIRED|DATA_SCOPE_FORBIDDEN|WORKSPACE_FORBIDDEN|STATE_TRANSITION_INVALID|IDEMPOTENCY_CONFLICT|VALIDATION_FAILED,Idempotency-Key,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,N/A,"P0-005,P0-067,P0-070",GENERATED,IMPLEMENTED,IMPLEMENTED,FREEZE:tests/contracts/m1-contract-freeze.contract.test.mjs;RUNTIME:apps/api/test/supertest/supplier-functional-accounts-api.test.mjs;apps/api/test/supertest/company-workspace-api.test.mjs,CODEX,M1-P067任务内完成company归属分支；公司邀请需二次验证、幂等、追加状态历史和审计；所有权字段禁止；供应商激活/登录仍归M1-P069
API-015,M1,audit,GET,/v1/audit/events,AUTHORIZED_AUDITOR,AuditQueryDto,AuditEventPageResponseDto,"{success,data,error:{code,message,details?},requestId}",FIELD_FORBIDDEN|WORKSPACE_FORBIDDEN,NONE,NEVER_RETURN; DTO白名单；供应商查询在数据库前加入会话supplierId；公司审计全局只读,N/A,"P0-045,P0-072",GENERATED,IMPLEMENTED,IMPLEMENTED,"tests/contracts/m1-p045-sensitive-audit.contract.test.mjs;apps/api/test/supertest/audit-log-api.test.mjs;tests/e2e/p0/p0-072-sensitive-operations-audit.spec.ts",CODEX,M1-P072扩展为公司审计全局脱敏只读与供应商审计本方只读；响应不返回supplierId/functionalAccountId/IP/敏感原文
API-016,M2,categories,GET,/v1/company/categories,COMPANY_PRODUCT_OPS,CategoryQuery(status?),CategoryTreeResponseDto,"{success,data,error:{code,message,details?},requestId}",COMMON_AUTH_VALIDATION_ERRORS,NONE,NEVER_RETURN; DTO白名单；companyId和职能均从会话派生；不返回供应价,不适用金额；禁止客户端提交companyId/functionalAccountId,P0-011,GENERATED,IMPLEMENTED,IMPLEMENTED,FREEZE:tests/contracts/m2-contract-freeze.contract.test.mjs;RUNTIME:apps/api/test/supertest/categories-api.test.mjs|tests/contracts/m2-p011-category-tree.contract.test.mjs,CODEX,递归树按sortWeight/name/id确定性排序；仅COMPANY_PRODUCT_OPS固定职能可访问；OpenAPI与生成类型已更新。
API-017,M2,categories,POST,/v1/company/categories,COMPANY_PRODUCT_OPS,CategoryCreateRequestDto,CategoryResponseDto,"{success,data,error:{code,message,details?},requestId}",CATEGORY_PARENT_INVALID|CATEGORY_LEVEL_INVALID|CATEGORY_DUPLICATE|IDEMPOTENCY_CONFLICT,Idempotency-Key,NEVER_RETURN; DTO白名单；companyId和操作者均从会话派生；不返回供应价,不适用金额；禁止客户端提交companyId/functionalAccountId,P0-011,GENERATED,IMPLEMENTED,IMPLEMENTED,FREEZE:tests/contracts/m2-contract-freeze.contract.test.mjs;RUNTIME:apps/api/test/supertest/categories-api.test.mjs|tests/contracts/m2-p011-category-tree.contract.test.mjs,CODEX,PATCH/DELETE同路径categoryId补充管理操作已实现；版本冲突、幂等重放/冲突、引用删除保护和追加审计均有运行证据。
API-018,M2,category-templates+regulated-category-controls,GET|POST|PATCH|POST|GET|POST|POST,/v1/company/categories/{categoryId}/template-versions|/v1/company/category-template-versions/{templateId}|/v1/company/category-template-versions/{templateId}/publish|/v1/company/regulated-category-controls|/v1/company/regulated-category-controls/{categoryId}/enable|/v1/company/regulated-category-controls/{categoryId}/disable,COMPANY_PRODUCT_OPS,CategoryTemplateCreateRequestDto|CategoryTemplatePatchRequestDto|CategoryTemplatePublishRequestDto|RegulatedCategoryEnableRequestDto|RegulatedCategoryDisableRequestDto,CategoryTemplateListResponseDto|CategoryTemplateResponseDto|RegulatedCategoryControlListResponseDto|RegulatedCategoryControlResponseDto,"{success,data,error:{code,message,details?},requestId}",TEMPLATE_SCHEMA_INVALID|TEMPLATE_NOT_FOUND|TEMPLATE_DRAFT_EXISTS|TEMPLATE_IMMUTABLE|TEMPLATE_VERSION_INACTIVE|REGULATED_CATEGORY_DISABLED|QUALIFICATION_REQUIRED|CATEGORY_TEMPLATE_INVALID|SECOND_VERIFICATION_REQUIRED|VERSION_CONFLICT|IDEMPOTENCY_CONFLICT|AUDIT_REQUIRED,Idempotency-Key,NEVER_RETURN；companyId/identityId/functionalAccountId由会话派生；响应只返回资质引用数和有效期；不返回供应价或资质对象引用,N/A；本切片无金额字段,"P0-012,P0-018",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/category-templates-api.test.mjs|apps/api/test/supertest/regulated-category-controls-api.test.mjs|tests/contracts/m2-p012-category-template.contract.test.mjs|tests/contracts/m2-p018-regulated-category.contract.test.mjs|tests/e2e/p0/p0-018-regulated-category.spec.ts|packages/contracts/openapi.json,CODEX,模板四操作与强监管列表/启用/停用已实现；HIGH_RISK默认关闭；启停二次验证、幂等、版本冲突和审计失败显式处理；当前LOCAL_PASS
API-019,M2,supplier-products,POST,/v1/supplier/products,SUPPLIER_PRODUCT,SupplierProductDraftRequestDto,SupplierProductResponseDto,"{success,data,error:{code,message,details?},requestId}",CATEGORY_TEMPLATE_INVALID|PRICE_FIELD_FORBIDDEN|SUPPLIER_SCOPE_FORBIDDEN|IDEMPOTENCY_CONFLICT,Idempotency-Key,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,本商品资料接口禁止任何价格字段；归属由固定会话派生,"P0-006,P0-008,P0-061",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-products-api.test.mjs|packages/contracts/openapi.json,CODEX,确定性OpenAPI已生成；固定供应商商品职能会话、幂等和DTO白名单本地通过；CI待执行。
API-020,M2,supplier-products,PATCH,/v1/supplier/products/{supplierProductId},SUPPLIER_PRODUCT,SupplierProductPatchRequestDto,SupplierProductResponseDto,"{success,data,error:{code,message,details?},requestId}",SUPPLIER_PRODUCT_NOT_FOUND|VERSION_CONFLICT|PRICE_FIELD_FORBIDDEN|IDEMPOTENCY_CONFLICT,Idempotency-Key,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,本商品资料接口禁止任何价格字段；归属由固定会话派生,"P0-006,P0-008",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-products-api.test.mjs|packages/contracts/openapi.json,CODEX,跨供应商访问统一404且原草稿不变；确定性OpenAPI已生成；CI待执行。
API-021,M2,supplier-products,POST,/v1/supplier/products/{supplierProductId}/submit-material,SUPPLIER_PRODUCT,SubmitProductMaterialRequestDto,ProductMaterialApprovalResponseDto,"{success,data,error:{code,message,details?},requestId}",SUPPLIER_PRODUCT_NOT_FOUND|STATE_TRANSITION_INVALID|VERSION_CONFLICT|IDEMPOTENCY_CONFLICT,Idempotency-Key,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,不接收价格；只创建资料审核任务，不创建可售Product/Sku,"P0-006,P0-007",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-products-api.test.mjs|packages/contracts/openapi.json,CODEX,双审前Product/Sku计数保持0；运行时与OpenAPI本地通过；CI待执行。
API-022,M2,supplier-pricing,PUT,/v1/supplier/pricing/products/{supplierProductId}/initial-prices,SUPPLIER_PRICING,InitialPricesRequestDto,InitialPricesResponseDto,"{success,data,error:{code,message,details?},requestId}",PRICE_INVALID|SUPPLIER_SCOPE_FORBIDDEN|WORKSPACE_FORBIDDEN|INITIAL_PRICE_STATE_INVALID|INITIAL_PRICE_REVIEW_PENDING|IDEMPOTENCY_CONFLICT|AUDIT_REQUIRED,Idempotency-Key,ROLE_AND_SUPPLIER_SCOPE_WHITELIST; DTO白名单；对象归属校验先于查询结果返回,三类申请价格均为非负安全整数分；禁止客户端提交归属、有效价格版本或结算快照,P0-008,GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-pricing-api.test.mjs|tests/openapi/openapi-generation.test.mjs|packages/contracts/openapi.json,CODEX,固定SUPPLIER_PRICING会话、完整SKU集合、并发幂等、审计回滚、历史快照和公司侧禁止改价测试通过；pnpm verify 17/17 LOCAL_PASS，CI待执行。
API-023,M2,supplier-pricing,POST,/v1/supplier/pricing/skus/{skuId}/supply-price-change,SUPPLIER_PRICING,SupplyPriceChangeRequestDto,SupplyPriceChangeDto,"{success,data,error:{code,message,details?},requestId}",PRICE_CHANGE_PENDING|PRICE_INVALID|VERSION_CONFLICT|SECOND_VERIFICATION_REQUIRED|IDEMPOTENCY_CONFLICT|AUDIT_REQUIRED|PRICE_EFFECT_SCHEDULE_FAILED,Idempotency-Key,ROLE_AND_SUPPLIER_SCOPE_WHITELIST; DTO白名单；对象归属校验先于查询结果返回,整数分；旧供应价在异人审核及约定时间前有效；客户端归属字段拒绝,"P0-019,P0-071",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/tiered-price-change-api.test.mjs|tests/contracts/m2-p019-tiered-price-change.contract.test.mjs|packages/contracts/openapi.json,CODEX,固定SUPPLIER_PRICING会话；同SKU最多一个待审；供应价响应仅授权职能可见且不返回归属/自然人键；GET /v1/supplier/pricing/skus为页面配套白名单。
API-024,M2,supplier-pricing,PATCH,/v1/supplier/pricing/skus/{skuId}/sale-prices,SUPPLIER_PRICING,SalePriceChangeRequestDto,SalePriceChangeResponseDto,"{success,data,error:{code,message,details?},requestId}",PRICE_INVALID|VERSION_CONFLICT|SECOND_VERIFICATION_REQUIRED|IDEMPOTENCY_CONFLICT|AUDIT_REQUIRED|PRICE_EFFECT_SCHEDULE_FAILED,Idempotency-Key,ROLE_AND_SUPPLIER_SCOPE_WHITELIST; DTO白名单；对象归属校验先于查询结果返回,整数分；零售/集采价不创建审批；立即或outbox预约生效并追加版本历史,"P0-019,P0-071",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/tiered-price-change-api.test.mjs|tests/contracts/m2-p019-tiered-price-change.contract.test.mjs|packages/contracts/openapi.json,CODEX,reviewCreated固定false；同幂等键重放、不同payload冲突；预约生效由持久化outbox和BullMQ恢复调度。
API-025,M2,company-product-review,POST,/v1/company/product-material-reviews/{taskId}/decision,COMPANY_PRODUCT_OPS,ProductApprovalDecisionRequestDto,ProductApprovalDecisionResponseDto,"{success,data,error:{code,message,details?},requestId}",APPROVAL_VERSION_CONFLICT,Idempotency-Key,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,金额字段整数分；服务端重算；禁止客户端提交供应价或结算快照,P0-007,GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/company-product-approvals-api.test.mjs|packages/contracts/openapi.json,CODEX,资料审核队列/决定运行时和确定性OpenAPI已实现；响应白名单无三类价格；同人自审、幂等、并发和审计失败本地通过；CI待执行。
API-026,M2,company-price-review,POST,/v1/company/price-reviews/{taskId}/decision,COMPANY_PRICE_REVIEW,ProductApprovalDecisionRequestDto,ProductApprovalDecisionResponseDto,"{success,data,error:{code,message,details?},requestId}",APPROVAL_VERSION_CONFLICT|SELF_APPROVAL_FORBIDDEN|SECOND_VERIFICATION_REQUIRED|APPROVAL_STATE_INVALID|IDEMPOTENCY_CONFLICT,Idempotency-Key,ROLE_AND_SUPPLIER_SCOPE_WHITELIST; DTO白名单；对象归属校验先于查询结果返回,整数分；仅处理首上架初始三价冻结快照，不改变既有成功响应契约,"P0-007,P0-071",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/company-product-approvals-api.test.mjs|tests/contracts/m2-p019-tiered-price-change.contract.test.mjs|packages/contracts/openapi.json,CODEX,首上架初始三价审核入口保持向后兼容；P019供应价变更改用API-091独立决定接口；oasdiff 0 error。
API-027,M2,inventory,GET,/v1/supplier/inventory,SUPPLIER_INVENTORY,InventoryQuery,SupplierInventoryPageDto,"显式DTO白名单；错误={statusCode,code,message,requestId}",AUTHENTICATION_REQUIRED|FUNCTIONAL_ACCOUNT_FORBIDDEN,NONE,NEVER_RETURN; supplierId/identityId/functionalAccountId由会话派生；不返回任何价格或归属字段,N/A,"P0-023,P0-063",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/shared-inventory-balance-api.test.mjs|tests/contracts/m2-p063-shared-inventory.contract.test.mjs|packages/contracts/openapi.json,CODEX,page/pageSize/warningOnly；private/no-store；仅本供应商ACTIVE SKU唯一余额
API-028,M2,inventory,POST,/v1/supplier/inventory/{skuId}/adjustments,SUPPLIER_INVENTORY,SupplierInventoryAdjustmentRequestDto,SupplierInventoryMutationDto,"显式DTO白名单；错误={statusCode,code,message,requestId}",AUTHENTICATION_REQUIRED|FUNCTIONAL_ACCOUNT_FORBIDDEN|INVENTORY_NOT_FOUND|INVENTORY_NEGATIVE|INVENTORY_VERSION_CONFLICT|IDEMPOTENCY_CONFLICT|VALIDATION_FAILED,Idempotency-Key,NEVER_RETURN; 归属从会话及SKU关系派生；响应不返回价格/归属/审计身份,N/A,"P0-023,P0-063",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/shared-inventory-balance-api.test.mjs|apps/api/test/unit/shared-inventory-domain.test.mjs|packages/contracts/openapi.json,CODEX,串行事务+乐观版本；同key同请求重放原快照；同key异请求拒绝；追加流水与审计原子写入
API-029,M3,catalog,GET,/v1/catalog/products,PUBLIC_OR_AUTHENTICATED,ConsumerCatalogQueryDto,ConsumerCatalogPageResponseDto,"显式白名单DTO；错误={statusCode,code,message,requestId}",REGION_UNAVAILABLE|VALIDATION_FAILED|PRODUCT_NOT_SALEABLE|SENSITIVE_FIELD_LEAK,NONE,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,金额字段整数分；服务端重算；禁止客户端提交供应价或结算快照,"P0-020,P0-078,P0-087",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/consumer-home-catalog-api.test.mjs|apps/api/test/unit/public-catalog-prisma-repository.test.mjs|apps/user-miniapp/test/home-build.test.mjs|tests/e2e/p0/p0-020-user-home.spec.ts|packages/contracts/openapi.json,CODEX,M3-P020实现公开个人零售首页货架；无客户端companyId/supplierId/enterpriseId作用域；未选择配送区仅返回UNSELECTED，客户端regionCode拒绝；DTO不返回企业价、供应价、库存或内部字段。
API-030,M3,catalog,GET,/v1/catalog/products/{productId},PUBLIC_OR_AUTHENTICATED,ProductIdPath,PublicFoodProductDetailResponseDto,"{success,data,error:{code,message,details?},requestId}",INVALID_INPUT|PRODUCT_NOT_FOUND|PRODUCT_NOT_SALEABLE|TEMPLATE_SCHEMA_INVALID|TEMPLATE_DATA_INVALID|REGULATORY_WARNING_REQUIRED|FRESH_REQUIRED_FIELD_MISSING|FRESH_WEIGHT_RULE_INVALID|FRESH_HISTORY_REWRITE|APPAREL_REQUIRED_FIELD_MISSING|SKU_DIMENSION_DUPLICATE|APPAREL_HISTORY_REWRITE|DIGITAL_REQUIRED_FIELD_MISSING|DIGITAL_MODEL_DUPLICATE|DIGITAL_HISTORY_REWRITE|BUNDLE_SCHEMA_INVALID|SUPPLIER_SCOPE_FORBIDDEN|TEMPLATE_VERSION_IMMUTABLE|SENSITIVE_FIELD_LEAK|FIELD_FORBIDDEN,NONE,NEVER_RETURN; RETAIL_PRICE_ONLY DTO白名单；对象归属校验先于查询结果返回；礼盒supplierProductId内部引用不返回,金额字段整数分；服务端重算；只返回retailSalePrice；禁止enterpriseSalePrice、供应价、供应价快照或毛利,"P0-013,P0-014,P0-015,P0-016,P0-017,P0-021,P0-088",GENERATED,IMPLEMENTED,IMPLEMENTED,FREEZE:tests/contracts/m3-contract-freeze.contract.test.mjs;RUNTIME:TO_BE_CREATED,CODEX,M3-000已冻结DTO白名单、错误码、权限、幂等、资金与缓存边界；OpenAPI运行时仍为PLANNED/NOT_IMPLEMENTED
