StateMachine,Stage,CurrentState,Event,NextState,AllowedActor,Guard,SideEffect,Idempotency,IllegalTransition,ConcurrencyControl,History,P0,Status
RunnerApplication,M4,PENDING_REVIEW,REJECT,REJECTED,COMPANY_LOGISTICS,拒绝原因存在,通知申请人,applicationId+decision,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,P0-100,DRAFT_TO_FREEZE_IN_STAGE
SupplierProduct,M2,DRAFT,SUBMIT_MATERIAL,PENDING_MATERIAL_REVIEW,SUPPLIER_PRODUCT,末级分类模板校验通过且无价格字段；HIGH_RISK须当前合规模板、显式ENABLED公司控制及公司/商品资质未过期,冻结资料快照；创建资料审批,supplierProductId+version,返回REGULATED_CATEGORY_DISABLED/QUALIFICATION_REQUIRED/CATEGORY_TEMPLATE_INVALID或409 STATE_TRANSITION_INVALID；不改变状态,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志、强监管控制历史和脱敏审计，禁止覆盖历史,"P0-006,P0-007,P0-018,P0-061",IMPLEMENTED_P0_018
SupplierProduct,M2,PENDING_MATERIAL_REVIEW,APPROVE_MATERIAL,MATERIAL_APPROVED,COMPANY_PRODUCT_OPS,资质与模板字段通过；HIGH_RISK在审批时重新校验显式控制、公司资质和商品资质有效期,等待初始三价审批,approvalTaskId+decision,返回REGULATED_CATEGORY_DISABLED/QUALIFICATION_REQUIRED/CATEGORY_TEMPLATE_INVALID或409 STATE_TRANSITION_INVALID；不改变状态,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志和脱敏审计；停用控制不删除历史审批快照,"P0-006,P0-007,P0-018,P0-061",IMPLEMENTED_P0_018
SupplierProduct,M2,PENDING_MATERIAL_REVIEW,REJECT_MATERIAL,CORRECTION_REQUIRED,COMPANY_PRODUCT_OPS,意见非空,通知供应商商品职能,approvalTaskId+decision,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-006,P0-007,P0-018,P0-061",FROZEN_M2_000
SupplierProduct,M2,MATERIAL_APPROVED,INITIAL_PRICES_APPROVED,ACTIVE,SYSTEM,每个SKU三类初始价格均由公司价格职能批准,创建/更新Product/Sku并上架,supplierProductId+materialVersion+priceVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-006,P0-007,P0-018,P0-061",FROZEN_M2_000
SupplierProduct,M2,ACTIVE,OFF_SHELF,OFF_SHELF,COMPANY_PRODUCT_OPS,原因明确,前台不可购买；历史订单不变,productId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-006,P0-007,P0-018,P0-061",FROZEN_M2_000
SupplierProduct,M2,OFF_SHELF,RESUBMIT,PENDING_MATERIAL_REVIEW,SUPPLIER_PRODUCT,资料版本变化,重新走资料与必要价格审核,supplierProductId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-006,P0-007,P0-018,P0-061",FROZEN_M2_000
ProductChannelVisibility,M2,ACTIVE,CHANGE,ACTIVE,SUPPLIER_PRODUCT,固定本供应商会话且唯一Product存在；version匹配；集采启用时起订量和包装倍数均大于0,同事务更新SupplierProduct与同一Product渠道设置并追加历史,supplierProductId+Idempotency-Key,返回404 SUPPLIER_PRODUCT_NOT_FOUND或409 VERSION_CONFLICT/DUPLICATE_CATALOG_RESOURCE；不修改旧历史,Product.version与SupplierProduct.version乐观锁；两个受影响行数均=1,ProductChannelVisibilityHistory只追加且数据库禁止UPDATE/DELETE,P0-061,IMPLEMENTED_M2_P061
SupplyPriceChangeRequest,M2,DRAFT,SUBMIT,SUBMITTED,SUPPLIER_PRICING,新供应价、原因、生效意图完整,冻结旧价/申请价快照,requestId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-019,P0-071",IMPLEMENTED_M2_P019_REUSED_M2_P071
SupplyPriceChangeRequest,M2,SUBMITTED,APPROVE,APPROVED,COMPANY_PRICE_REVIEW,审核人与申请人职能隔离,计划生效；写价格日志,requestId+decision,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-019,P0-071",IMPLEMENTED_M2_P019_REUSED_M2_P071
SupplyPriceChangeRequest,M2,SUBMITTED,REJECT,REJECTED,COMPANY_PRICE_REVIEW,拒绝原因非空,旧供应价保持,requestId+decision,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-019,P0-071",IMPLEMENTED_M2_P019_REUSED_M2_P071
SupplyPriceChangeRequest,M2,APPROVED,EFFECT,EFFECTIVE,SYSTEM,达到批准生效时间且SKU版本匹配,原子更新当前供应价版本；历史快照不变,requestId+effectiveAt,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-019,P0-071",IMPLEMENTED_M2_P019_REUSED_M2_P071
SupplyPriceChangeRequest,M2,SUBMITTED,CANCEL,CANCELLED,SUPPLIER_PRICING,尚未审结,保留取消记录,requestId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-019,P0-071",FROZEN_M2_000
Order,M3,DRAFT,SUBMIT,PENDING_PAYMENT,CONSUMER_OR_ENTERPRISE,价格/库存/地址/渠道资格再次校验,原子预扣库存；按供应商生成履约子单草稿,clientIdempotencyKey,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-022,P0-023,P0-025,P0-029,P0-062",FROZEN_M3_000
Order,M3,PENDING_PAYMENT,PAYMENT_CONFIRMED,PAID,SYSTEM,支付分配全部完成且通知验签,确认预扣；激活履约子单,orderId+paymentAllocationVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-022,P0-023,P0-025,P0-029,P0-062",FROZEN_M3_000
Order,M3,PENDING_PAYMENT,CANCEL_OR_TIMEOUT,CANCELLED,OWNER_OR_SYSTEM,无已确认支付或补偿完成,释放库存；退回已冻结福利卡,orderId+cancelReason,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-022,P0-023,P0-025,P0-029,P0-062",FROZEN_M3_000
Order,M3,PAID,START_FULFILLMENT,FULFILLING,SYSTEM,至少一个子单开始备货,聚合状态更新,orderId+subOrderVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-022,P0-023,P0-025,P0-029,P0-062",FROZEN_M3_000
Order,M3,FULFILLING,PARTIAL_RECEIPT,PARTIALLY_DELIVERED,SYSTEM,部分配送项已签收,更新可售后数量,orderId+receiptVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-022,P0-023,P0-025,P0-029,P0-062",FROZEN_M3_000
Order,M3,FULFILLING,ALL_RECEIVED,COMPLETED,SYSTEM,所有有效配送项签收且无阻断,进入结算候选,orderId+receiptVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-022,P0-023,P0-025,P0-029,P0-062",FROZEN_M3_000
PaymentTransaction,M3,CREATED,CREATE_PREPAY,PREPAY_CREATED,SYSTEM,订单仍待支付且现金额>0,调用微信适配器并保存外部单号,outTradeNo,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-024,P0-056,P0-057,P0-093",FROZEN_M3_000
PaymentTransaction,M3,PREPAY_CREATED,VERIFIED_NOTIFY_SUCCESS,PAID,WECHAT_CALLBACK,签名/商户/金额/订单均匹配,幂等确认现金支付并推进订单,wechatTransactionId,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-024,P0-056,P0-057,P0-093",FROZEN_M3_000
PaymentTransaction,M3,PREPAY_CREATED,CLOSE,CLOSED,SYSTEM,超时或订单取消且未支付,关闭外部订单；触发福利卡解冻补偿,outTradeNo+close,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-024,P0-056,P0-057,P0-093",FROZEN_M3_000
PaymentTransaction,M3,PREPAY_CREATED,QUERY_UNKNOWN,UNKNOWN,SYSTEM,网络结果不确定,保持订单不可重复支付；轮询查询,outTradeNo+queryAttempt,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-024,P0-056,P0-057,P0-093",FROZEN_M3_000
PaymentTransaction,M3,UNKNOWN,QUERY_PAID,PAID,SYSTEM,查询返回已支付且金额匹配,同回调成功路径,wechatTransactionId,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-024,P0-056,P0-057,P0-093",FROZEN_M3_000
PaymentTransaction,M3,UNKNOWN,QUERY_CLOSED,CLOSED,SYSTEM,外部确认未支付/已关闭,执行福利卡补偿,outTradeNo+finalQuery,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-024,P0-056,P0-057,P0-093",FROZEN_M3_000
RefundTransaction,M3,CREATED,SUBMIT,PROCESSING,COMPANY_ORDER_SERVICE,按原支付分配计算且不超过可退额,先登记退款意图和幂等键,refundNo,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-026,P0-058,P0-096",IMPLEMENTED_M3_P026
RefundTransaction,M3,PROCESSING,WELFARE_REFUND_APPLIED,PARTIAL_CHANNEL_DONE,SYSTEM,福利卡账本追加成功,等待/执行微信退款,refundNo+welfare,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-026,P0-058,P0-096",IMPLEMENTED_M3_P026
RefundTransaction,M3,PROCESSING,ALL_CHANNELS_SUCCESS,SUCCEEDED,SYSTEM,福利卡和微信应退部分均成功,更新售后和订单退款汇总,refundNo+allocationVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-026,P0-058,P0-096",IMPLEMENTED_M3_P026
RefundTransaction,M3,PARTIAL_CHANNEL_DONE,WECHAT_REFUND_SUCCESS,SUCCEEDED,WECHAT_CALLBACK,验签且退款号/金额匹配,完成聚合状态,wechatRefundNo,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-026,P0-058,P0-096",IMPLEMENTED_M3_P026
RefundTransaction,M3,PROCESSING,CHANNEL_UNKNOWN,UNKNOWN,SYSTEM,外部结果未知,禁止重复发起；进入查询补偿,refundNo+queryAttempt,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-026,P0-058,P0-096",IMPLEMENTED_M3_P026
RefundTransaction,M3,PROCESSING,FAIL_CONFIRMED,FAILED,SYSTEM,确认未退款且可安全重试/人工处理,保留失败原因,refundNo+failureCode,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-026,P0-058,P0-096",FROZEN_M3_000
WelfareCardAccount,M3,UNCLAIMED,BIND,ACTIVE,CONSUMER_USER,卡号/兑换码/扫码秘密摘要匹配；计划ACTIVE+APPROVED；批次ISSUED；卡码UNCLAIMED；协议版本一致；归属从会话派生,原子领取卡码、创建唯一账户、追加CLAIM/CREDIT账本和不可变幂等命令,companyId+consumerUserId+Idempotency-Key；同键异体冲突,稳定错误码；禁用/过期/冻结/重复/他人领取/错误秘密均零副作用,SERIALIZABLE重试+status/version条件更新+cardCodeId唯一键,WelfareCardLedger与WelfareCardBindingCommand触发器禁止更新删除,P0-052,IMPLEMENTED_M3_P052
WelfareCardAccount,M3,ACTIVE,FREEZE_ORDER_AMOUNT,ACTIVE,SYSTEM,适用范围与可用余额满足,追加冻结账本；balance/frozen原子变化,orderId+accountId+freeze,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-052,P0-053,P0-055,P0-059",FROZEN_M3_000
WelfareCardAccount,M3,ACTIVE,CAPTURE_ORDER_AMOUNT,ACTIVE,SYSTEM,对应冻结存在且支付闭环成功,追加扣减账本,orderId+accountId+capture,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-052,P0-053,P0-055,P0-059",FROZEN_M3_000
WelfareCardAccount,M3,ACTIVE,RELEASE_ORDER_AMOUNT,ACTIVE,SYSTEM,取消/支付失败且冻结尚未捕获,追加解冻账本,orderId+accountId+release,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-052,P0-053,P0-055,P0-059",FROZEN_M3_000
WelfareCardAccount,M3,ACTIVE,REFUND,ACTIVE,SYSTEM,原福利卡分配可退额充足,追加退款账本,refundId+accountId,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-052,P0-053,P0-055,P0-059",FROZEN_M3_000
WelfareCardAccount,M3,ACTIVE,SUSPEND,SUSPENDED,COMPANY_WELFARE_CARD,风险原因存在,阻止新冻结；不改历史,accountId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-052,P0-053,P0-055,P0-059",FROZEN_M3_000
SupplierFulfillmentSubOrder,M3,PENDING,ACCEPT,ACCEPTED,SUPPLIER_FULFILLMENT,主订单已支付且supplierId匹配,锁定履约视图,subOrderId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-031,P0-062,P0-064,P0-065",FROZEN_M3_000
SupplierFulfillmentSubOrder,M3,ACCEPTED,START_PREPARING,PREPARING,SUPPLIER_FULFILLMENT,库存已确认,记录备货时间,subOrderId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-031,P0-062,P0-064,P0-065",FROZEN_M3_000
SupplierFulfillmentSubOrder,M3,PREPARING,MARK_READY,READY_FOR_HANDOVER,SUPPLIER_FULFILLMENT,商品/数量/取货点校验,个人单可生成一次DeliveryTask；企业单仅进入公司汇总,subOrderId+readyVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-031,P0-062,P0-064,P0-065",FROZEN_M3_000
SupplierFulfillmentSubOrder,M3,READY_FOR_HANDOVER,HANDOVER,HANDED_OVER,SUPPLIER_FULFILLMENT,交接对象和凭证匹配渠道,追加交接日志,subOrderId+handoverToken,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-031,P0-062,P0-064,P0-065",FROZEN_M3_000
SupplierFulfillmentSubOrder,M3,HANDED_OVER,COMPLETE,COMPLETED,SYSTEM,对应配送/签收完成,进入对账候选,subOrderId+receiptVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-031,P0-062,P0-064,P0-065",FROZEN_M3_000
DeliveryTask,M4,CREATED,PUBLISH_HALL,HALL_PUBLISHED,COMPANY_LOGISTICS_OR_SYSTEM,个人子单READY且取货/目的地快照完整；企业单禁止,写hallPublishedAt,subOrderId+deliveryTaskType,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-032,P0-033,P0-102,P0-103,P0-105,P0-107,P0-108,P0-109,P0-110",DRAFT_TO_FREEZE_IN_STAGE
DeliveryTask,M4,HALL_PUBLISHED,CLAIM,ACCEPTED,RUNNER,跑腿员ACTIVE+ONLINE+服务区+容量；runnerId为空,CAS写runnerId并追加分配日志,deliveryTaskId+runnerId+claimKey,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-032,P0-033,P0-102,P0-103,P0-105,P0-107,P0-108,P0-109,P0-110",DRAFT_TO_FREEZE_IN_STAGE
DeliveryTask,M4,ACCEPTED,ARRIVE_PICKUP,ARRIVED_PICKUP,ASSIGNED_RUNNER,当前runnerId匹配,追加节点日志,taskId+node+clientKey,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-032,P0-033,P0-102,P0-103,P0-105,P0-107,P0-108,P0-109,P0-110",DRAFT_TO_FREEZE_IN_STAGE
