PageID,Platform,PageName,Route,SourceAsset,Stage,Actor,P0,AuthPolicy,SupplyPricePolicy,APIGroup,RequiredUIStates,ResponsiveOrDevice,ImplementationStatus,AcceptanceStatus,RouteTest,Notes
PAGE-011,COMPANY_ADMIN,门户内容,/company-admin/workspaces/content,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/11-门户内容.png,M5,公司职能账号,"P0-067,P0-068,P0-073,P0-082",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-067_CI_PASS;P0-068_CI_PASS;P0-073_P0-082_NOT_EXECUTED,"tests/e2e/p0/p0-067-company-workspaces.spec.ts;tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts",P068仅交付当前门户内容职能目录与完整页面状态；M5 CMS与ISR业务明确DEFERRED
PAGE-012,COMPANY_ADMIN,审计风控,/company-admin/workspaces/audit,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/12-审计风控.png,M1,公司职能账号,"P0-045,P0-067,P0-068,P0-072",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-045_LOCAL_PASS;P0-067_CI_PASS;P0-068_CI_PASS;P0-072_LOCAL_PASS,"tests/e2e/p0/p0-045-audit-log.spec.ts;tests/e2e/p0/p0-067-company-workspaces.spec.ts;tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts;tests/e2e/p0/p0-072-sensitive-operations-audit.spec.ts",公司审计职能真实读取脱敏事件并可申请、独立认领和复核敏感操作；不生成实际导出文件
PAGE-013,SUPPLIER_ADMIN,供应商注册,/supplier/register,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/01-供应商注册.png,M1,供应商职能账号,"P0-003,P0-069",PUBLIC_NOINDEX_NO_STORE,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-003_LOCAL_PASS;P0-069_LOCAL_PASS,"tests/e2e/p0/p0-003-supplier-onboarding.spec.ts;tests/e2e/p0/p0-069-supplier-auth.spec.ts",M1-P069保留独立公开注册并增加明确的已有账号登录入口；注册不签发业务会话；noindex/no-store
PAGE-014,SUPPLIER_ADMIN,供应商登录,/supplier/login,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/02-供应商登录.png,M1,供应商职能账号,P0-069,PUBLIC_NOINDEX_NO_STORE,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-069-supplier-auth.spec.ts,独立登录；未知账号与错误凭证不枚举；客户端supplierId等归属字段先拒绝；单账号直达同requestId并发重试复用服务端隐藏授权和同一有效Cookie；可选验证码仅允许最多16字符字符串且非法值不进入Adapter；生产凭证适配器默认拒绝
PAGE-015,SUPPLIER_ADMIN,职能账号选择,/supplier/account-select,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/03-职能账号选择.png,M1,供应商职能账号,P0-069,AUTHENTICATED_IDENTITY_PENDING_FUNCTIONAL_SESSION,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-069-supplier-auth.spec.ts,仅使用认证后服务端账号列表；选择nonce由服务端密钥独立域HMAC派生且只存哈希并一次绑定；停用账号不可选；同账号并发重放返回同一有效Secure HttpOnly Cookie且响应乱序可恢复；已完成二次验证的同账号未知结果重放不再次消费一次性验证码；无效/过期选择、不可用账号和跨账号冲突追加脱敏LoginAudit；非法二次验证码先422且不消耗授权或调用Adapter；页面不接收会话令牌；private/no-store且noindex
PAGE-016,SUPPLIER_ADMIN,主体管理,/supplier/workspaces/account-admin,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/04-主体管理.png,M1,供应商职能账号,"P0-005,P0-070",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-005-functional-accounts.spec.ts;tests/e2e/p0/p0-070-supplier-workspaces.spec.ts,M1-P005账号管理能力保留；M1-P070增加主体管理固定会话门禁、单一菜单和六态页面；真实主体业务仍按后续任务边界
PAGE-017,SUPPLIER_ADMIN,商品管理,/supplier/workspaces/products,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/05-商品管理.png,M2,供应商职能账号,"P0-006,P0-008,P0-061,P0-070",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-006_CI_PASS;P0-008_CI_PASS;P0-061_CI_PASS;P0-070_CI_PASS,tests/e2e/p0/p0-006-product-two-layer.spec.ts|tests/e2e/p0/p0-061-shared-catalog-enterprise-flag.spec.ts|tests/e2e/p0/p0-070-supplier-workspaces.spec.ts,供应商固定商品职能页已实现资料草稿与集采标识/历史区块；归属由会话派生且请求与页面不含供应价；PR #68 head 74a5361的run 31582179718成功。
PAGE-018,SUPPLIER_ADMIN,价格管理,/supplier/workspaces/pricing,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/06-价格管理.png,M2,供应商职能账号,"P0-008,P0-019,P0-070,P0-071",REQUIRED_FIXED_FUNCTIONAL_SESSION,OWN_SUPPLIER_ONLY,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-008_CI_PASS;P0-019_CI_PASS;P0-070_CI_PASS;P0-071_NOT_EXECUTED,tests/e2e/p0/p0-008-supplier-pricing.spec.ts|tests/e2e/p0/p0-019-tiered-price-change.spec.ts|tests/e2e/p0/p0-070-supplier-workspaces.spec.ts,M2-P019在固定价格职能页完成供应价送审旧价保留、零售/集采免审版本化及预约/未知结果恢复；PR #64实现head 91613ee的run 31561577045成功；P071其余范围未执行。
PAGE-019,SUPPLIER_ADMIN,库存管理,/supplier/workspaces/inventory,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/07-库存管理.png,M2,供应商职能账号,"P0-023,P0-063,P0-070",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,inventory,"loading,empty,error,permission-denied,offline-or-timeout,success,unknown-result",PC admin,IMPLEMENTED,P0-063_LOCAL_PASS;P0-070_CI_PASS,tests/e2e/p0/p0-063-shared-inventory.spec.ts|tests/e2e/p0/p0-070-supplier-workspaces.spec.ts,M1固定页面壳和单一菜单保留；M2-P063实现本供应商唯一SKU余额、预警、调整、错误与未知结果恢复，不显示供应价/售价/归属字段；focused Chromium 4/4通过。
PAGE-020,SUPPLIER_ADMIN,履约管理,/supplier/workspaces/fulfillment,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/08-履约管理.png,M3,供应商职能账号,"P0-031,P0-070",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-070-supplier-workspaces.spec.ts,M1-P070固定页面壳、单一菜单和六态已实现；M3履约业务数据仍DEFERRED且NOT_EXECUTED
PAGE-021,SUPPLIER_ADMIN,售后协同,/supplier/workspaces/aftersales,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/09-售后协同.png,M5,供应商职能账号,"P0-038,P0-039,P0-070",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-070-supplier-workspaces.spec.ts,M1-P070固定页面壳、单一菜单和六态已实现；M5售后业务数据仍DEFERRED且NOT_EXECUTED
PAGE-022,SUPPLIER_ADMIN,财务对账,/supplier/workspaces/finance,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/10-财务对账.png,M5,供应商职能账号,"P0-040,P0-041,P0-042,P0-060,P0-065,P0-070",REQUIRED_FIXED_FUNCTIONAL_SESSION,OWN_SUPPLIER_ONLY,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-070-supplier-workspaces.spec.ts,M1-P070固定页面壳、单一菜单和六态已实现；M5财务对账业务数据仍DEFERRED且NOT_EXECUTED
PAGE-023,SUPPLIER_ADMIN,审计记录,/supplier/workspaces/audit,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/11-审计记录.png,M1,供应商职能账号,"P0-070,P0-072",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-070_CI_PASS;P0-072_LOCAL_PASS,"tests/e2e/p0/p0-070-supplier-workspaces.spec.ts;tests/e2e/p0/p0-072-sensitive-operations-audit.spec.ts",供应商审计职能只读本supplierId脱敏事件和本方申请；只能申请公司复核且不能认领
PAGE-024,SUPPLIER_ADMIN,职能账号管理,/supplier/workspaces/account-admin/accounts,福礼社UI设计资产/蓝绿供应链暖红福利统一版/供应商后台/12-职能账号管理.png,M1,供应商职能账号,"P0-005,P0-070",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,supplier,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-005-functional-accounts.spec.ts;tests/e2e/p0/p0-070-supplier-workspaces.spec.ts,M1-P005查询邀请与六态保留；P069职能选择和P070主体管理固定门禁均已LOCAL_PASS
PAGE-025,PORTAL_ENTERPRISE,门户首页,/,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/01-门户首页.png,M3,公开访客/企业用户,"P0-001,P0-009,P0-027,P0-074",PUBLIC_SSG_ISR,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,PARTIAL_LOCAL_PASS,P0-001_LOCAL_PASS;P0-009_LOCAL_PASS;M3_NOT_EXECUTED,tests/e2e/p0/p0-001-single-merchant.spec.ts|tests/e2e/p0/p0-009-no-supplier-storefront.spec.ts,"Next.js App Router；P0-001主体与P0-009无供应商店铺责任边界已实现并保持SSG/ISR；pnpm verify 17/17通过，页面其余M3采购能力、P0-027与P0-074仍未实现。"
PAGE-026,PORTAL_ENTERPRISE,关于福礼社,/about,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/02-关于福礼社.png,M5,公开访客/企业用户,P0-075,PUBLIC_SSG_ISR,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,Next.js App Router；可抓取服务端HTML；唯一metadata/canonical/structured data；进入sitemap；CMS按slug触发ISR失效
PAGE-027,PORTAL_ENTERPRISE,供应链能力,/capabilities,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/03-供应链能力.png,M5,公开访客/企业用户,P0-075,PUBLIC_SSG_ISR,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,Next.js App Router；可抓取服务端HTML；唯一metadata/canonical/structured data；进入sitemap；CMS按slug触发ISR失效
PAGE-028,PORTAL_ENTERPRISE,合作案例,/cases,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/04-合作案例.png,M5,公开访客/企业用户,P0-075,PUBLIC_SSG_ISR,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,Next.js App Router；可抓取服务端HTML；唯一metadata/canonical/structured data；进入sitemap；CMS按slug触发ISR失效
PAGE-029,PORTAL_ENTERPRISE,案例详情,/cases/[slug],福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/05-案例详情.png,M5,公开访客/企业用户,P0-075,PUBLIC_SSG_ISR,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,Next.js App Router；可抓取服务端HTML；唯一metadata/canonical/structured data；进入sitemap；CMS按slug触发ISR失效
PAGE-030,PORTAL_ENTERPRISE,社区集采入口,/enterprise-procurement,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/06-社区集采入口.png,M3,公开访客/企业用户,"P0-030,P0-073,P0-074",PUBLIC_SSG_ISR,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,Next.js App Router；可抓取服务端HTML；唯一metadata/canonical/structured data；进入sitemap；CMS按slug触发ISR失效
PAGE-031,PORTAL_ENTERPRISE,企业注册,/enterprise/register,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/07-企业注册.png,M3,公开访客/企业用户,"P0-028,P0-077",PUBLIC_NOINDEX_NO_STORE,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,公开可访问但禁止索引和公共缓存；认证令牌与错误不写入HTML或日志
PAGE-032,PORTAL_ENTERPRISE,企业登录,/enterprise/login,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/08-企业登录.png,M3,公开访客/企业用户,P0-077,PUBLIC_NOINDEX_NO_STORE,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,公开可访问但禁止索引和公共缓存；认证令牌与错误不写入HTML或日志
PAGE-033,PORTAL_ENTERPRISE,认证进度,/enterprise/certification,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/09-认证进度.png,M3,公开访客/企业用户,P0-077,ENTERPRISE_AUTH_PRIVATE_NO_STORE_NOINDEX,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,"企业身份服务端校验；用户特定响应private/no-store；noindex,nofollow；不得进入sitemap/CDN公共缓存"
PAGE-034,PORTAL_ENTERPRISE,采购货架,/enterprise/procurement/products,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/10-采购货架.png,M3,公开访客/企业用户,"P0-061,P0-078",ENTERPRISE_AUTH_PRIVATE_NO_STORE_NOINDEX,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,PARTIAL_IMPLEMENTED_M2_P061,P0-061_CI_PASS;P0-078_NOT_EXECUTED,apps/portal-web/test/shared-enterprise-catalog.test.mjs|tests/e2e/p0/p0-061-shared-catalog-enterprise-flag.spec.ts,"M2-P061已实现同一Product/Sku资源、集采标识过滤、企业价白名单和private/no-store/noindex最小货架，PR #68 head 74a5361的CI通过；M3补企业认证、搜索筛选、库存状态和完整P0-078交互。"
PAGE-035,PORTAL_ENTERPRISE,企业商品详情,/enterprise/procurement/products/[productId],福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/11-企业商品详情.png,M3,公开访客/企业用户,"P0-021,P0-061,P0-078",ENTERPRISE_AUTH_PRIVATE_NO_STORE_NOINDEX,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,PARTIAL_IMPLEMENTED_M2_P021,P0-021_LOCAL_PASS;P0-061_NOT_EXECUTED;P0-078_NOT_EXECUTED,apps/portal-web/test/enterprise-product-price-isolation.test.mjs|tests/e2e/p0/p0-021-product-detail-price-isolation.spec.ts,M2-P021仅实现认证会话边界、集采销售价白名单和private/no-store/noindex详情运行态；生产默认会话解析器拒绝。M3企业认证、完整集采货架/交互、staging和production仍未执行。
PAGE-036,PORTAL_ENTERPRISE,采购车,/enterprise/procurement/cart,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/12-采购车.png,M3,公开访客/企业用户,"P0-062,P0-079",ENTERPRISE_AUTH_PRIVATE_NO_STORE_NOINDEX,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,"企业身份服务端校验；用户特定响应private/no-store；noindex,nofollow；不得进入sitemap/CDN公共缓存"
PAGE-037,PORTAL_ENTERPRISE,采购结算,/enterprise/procurement/checkout,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/13-采购结算.png,M3,公开访客/企业用户,"P0-062,P0-079",ENTERPRISE_AUTH_PRIVATE_NO_STORE_NOINDEX,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,"企业身份服务端校验；用户特定响应private/no-store；noindex,nofollow；不得进入sitemap/CDN公共缓存"
PAGE-038,PORTAL_ENTERPRISE,企业工作台,/enterprise/workspace,福礼社UI设计资产/蓝绿供应链暖红福利统一版/企业门户网站/14-企业工作台.png,M3,公开访客/企业用户,P0-080,ENTERPRISE_AUTH_PRIVATE_NO_STORE_NOINDEX,NEVER_RETURN,portal/enterprise,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC+mobile responsive,REFERENCE_ASSET_ONLY,NOT_EXECUTED,TO_BE_CREATED,"企业身份服务端校验；用户特定响应private/no-store；noindex,nofollow；不得进入sitemap/CDN公共缓存"
