P0ID,No,Stage,Scene,Acceptance,SourceSection,PrimaryTaskID,RequiredEvidenceLevel,CurrentEvidenceStatus,AutomatedTestID,ManualCaseID,NegativeChecks,EvidenceLink,LastVerifiedCommit,Verifier,VerifiedAt,Notes
P0-011,11,M2,分类树,商品必须绑定启用的末级分类，分类支持排序、停用和历史引用保护。,§5分类模板、§6商品价格库存,M2-P011,CI_PASS,CI_PASS,NEG-M2-011-01|NEG-M2-011-02|NEG-M2-011-03|NEG-M2-011-04,N/A,NON_LEAF_BINDING；DISABLED_CATEGORY；REFERENCED_CATEGORY_DELETE；CATEGORY_CYCLE,apps/api/test/supertest/categories-api.test.mjs|tests/contracts/m2-p011-category-tree.contract.test.mjs|tests/migrations/m2-p011-category-tree-migration.contract.test.mjs|tests/e2e/p0/p0-011-category-tree.spec.ts|docs/contracts/m2/M2-P011-category-tree.md|artifacts/verification/M2-P011/category-tree.json,abb82b1be670ab145f719d8682b59ba23ffcfe7d,GITHUB_ACTIONS+CODEX_SELF_REVIEW,2026-08-10T09:43:15Z,PR #48精确head CI run 31372338118与合并后main CI run 31375326708通过；staging与production未执行。
P0-012,12,M2,分类模板,末级分类绑定模板版本，决定必填字段、SKU、资质和详情模块。,§5分类模板、§6商品价格库存,M2-P012,CI_PASS,CI_PASS,NEG-M2-012-01|NEG-M2-012-02|NEG-M2-012-03|NEG-M2-012-04|NEG-M2-012-05,N/A,INVALID_SCHEMA；NON_LEAF_OR_DISABLED；IMMUTABLE_VERSION；INACTIVE_ASSIGNMENT；CONCURRENCY_AUDIT,apps/api/test/supertest/category-templates-api.test.mjs|tests/contracts/m2-p012-category-template.contract.test.mjs|tests/migrations/m2-p012-category-template-migration.contract.test.mjs|tests/e2e/p0/p0-012-category-template.spec.ts|docs/contracts/m2/M2-P012-category-template.md|artifacts/verification/M2-P012/category-template.json,4faae84321583c28abc7532f1093c7c2bbc95de1,CODEX,2026-08-10T12:19:45-04:00,PR #50精确head CI与合并后main CI run 31398383884通过；模板版本化、旧版不可变和当前发布绑定均为CI_PASS。staging与production未执行。
P0-013,13,M2,食品详情,配料、营养、许可、保质期、储存和过敏原按模板展示。,§5分类模板、§6商品价格库存,M2-P013,CI_PASS,CI_PASS,NEG-M2-013-01|NEG-M2-013-02|NEG-M2-013-03,N/A,FOOD_REQUIRED_FIELD_MISSING；FOOD_WARNING_OVERRIDE；FOOD_HISTORY_REWRITE,apps/api/test/unit/food-detail-policy.test.mjs|apps/api/test/supertest/food-product-detail-api.test.mjs|apps/api/test/supertest/category-templates-api.test.mjs|apps/user-miniapp/test/product-detail-build.test.mjs|tests/contracts/m2-p013-food-detail.contract.test.mjs|tests/migrations/m2-p013-food-template-migration.contract.test.mjs|tests/e2e/p0/p0-013-food-detail.spec.ts|docs/contracts/m2/M2-P013-food-detail.md|artifacts/verification/M2-P013/food-detail.json,22d42359eb6e5ecfaf978efea0c2964c84267d27,CODEX,2026-08-10T21:20:18-04:00,PR #52精确head CI run 31413574540及合并后main CI run 31448561555通过；食品六项字段、三项SKU规格、固定提示和公开DTO白名单达到CI_PASS。staging、device、production未执行。
P0-014,14,M2,生鲜详情,产地、等级、保鲜、温区、称重和售后规则按模板展示。,§5分类模板、§6商品价格库存,M2-P014,CI_PASS,CI_PASS,NEG-M2-014-01|NEG-M2-014-02|NEG-M2-014-03,N/A,FRESH_REQUIRED_FIELD_MISSING；FRESH_WEIGHT_RULE_INVALID；FRESH_HISTORY_REWRITE,apps/api/test/unit/fresh-detail-policy.test.mjs|apps/api/test/supertest/fresh-product-detail-api.test.mjs|apps/api/test/supertest/category-templates-api.test.mjs|apps/user-miniapp/test/product-detail-build.test.mjs|tests/contracts/m2-p014-fresh-detail.contract.test.mjs|tests/migrations/m2-p014-fresh-template-migration.contract.test.mjs|tests/e2e/p0/p0-014-fresh-detail.spec.ts|docs/contracts/m2/M2-P014-fresh-detail.md|artifacts/verification/M2-P014/fresh-detail.json,9bbaa92e22d2c7055ffefbe089f92eaaf69cdabe,GITHUB_ACTIONS+CODEX_SELF_REVIEW,2026-08-11T03:00:18Z,PR #54精确head CI run 31452009986及合并后main CI run 31453656294通过；生鲜详情达到CI_PASS。staging、device、production未执行。
P0-015,15,M2,服饰详情,颜色尺码 SKU、材质、尺码表和洗护说明完整。,§5分类模板、§6商品价格库存,M2-P015,CI_PASS,CI_PASS,NEG-M2-015-01|NEG-M2-015-02|NEG-M2-015-03,N/A,APPAREL_REQUIRED_FIELD_MISSING；SKU_DIMENSION_DUPLICATE；APPAREL_HISTORY_REWRITE,apps/api/test/unit/apparel-detail-policy.test.mjs|apps/api/test/supertest/apparel-product-detail-api.test.mjs|apps/api/test/supertest/category-templates-api.test.mjs|apps/user-miniapp/test/product-detail-build.test.mjs|tests/contracts/m2-p015-apparel-detail.contract.test.mjs|tests/migrations/m2-p015-apparel-template-migration.contract.test.mjs|tests/e2e/p0/p0-015-apparel-detail.spec.ts|docs/contracts/m2/M2-P015-apparel-detail.md|artifacts/verification/M2-P015/apparel-detail.json,7319f6f2fa13e490e46f262ba9aae7f0746016ad,GITHUB_ACTIONS,2026-08-11T05:46:34Z,PR #56最终head CI和合并后main@dfd03e1 run 31462310044均通过；P0-015在main闭环，staging、device和production仍未执行。
P0-016,16,M2,数码详情,型号、参数、能效、包装清单和保修信息完整。,§5分类模板、§6商品价格库存,M2-P016,CI_PASS,CI_PASS,NEG-M2-016-01|NEG-M2-016-02|NEG-M2-016-03,N/A,DIGITAL_REQUIRED_FIELD_MISSING；DIGITAL_MODEL_DUPLICATE；DIGITAL_HISTORY_REWRITE,apps/api/test/unit/digital-detail-policy.test.mjs|apps/api/test/supertest/digital-product-detail-api.test.mjs|apps/api/test/supertest/category-templates-api.test.mjs|apps/user-miniapp/test/product-detail-build.test.mjs|tests/migrations/m2-p016-digital-template-migration.contract.test.mjs|tests/e2e/p0/p0-016-digital-detail.spec.ts|docs/contracts/m2/M2-P016-digital-detail.md|artifacts/verification/M2-P016/digital-detail.json|https://github.com/EasyStep-lee/flt1/actions/runs/31472192291,371d99dc668cf021583fb43f86750cb4630573b7,GITHUB_ACTIONS,2026-08-11T08:41:37Z,PR #58最终head CI和合并后main@371d99d run 31472192291均通过；P0-016在main闭环，正式数据、staging、device和production仍未执行。
P0-017,17,M2,礼盒组合,组合商品明确展示子项、数量、规格和有效期下限。,§5分类模板、§6商品价格库存,M2-P017,CI_PASS,CI_PASS,NEG-M2-017-01|NEG-M2-017-02|NEG-M2-017-03,N/A,BUNDLE_SCHEMA_INVALID；SUPPLIER_SCOPE_FORBIDDEN；TEMPLATE_VERSION_IMMUTABLE,apps/api/test/unit/gift-box-detail-policy.test.mjs|apps/api/test/supertest/gift-box-product-detail-api.test.mjs|apps/api/test/supertest/category-templates-api.test.mjs|apps/user-miniapp/test/product-detail-build.test.mjs|tests/contracts/m2-p017-gift-box-detail.contract.test.mjs|tests/migrations/m2-p017-gift-box-template-migration.contract.test.mjs|tests/e2e/p0/p0-017-gift-box-detail.spec.ts|docs/contracts/m2/M2-P017-gift-box-detail.md|artifacts/verification/M2-P017/gift-box-detail.json|artifacts/test-results/verification/pnpm-verify.json|https://github.com/EasyStep-lee/flt1/actions/runs/31479644045|https://github.com/EasyStep-lee/flt1/actions/runs/31480997963,59b020e38d38dc2a8d5d1e1009a2fdc8c5558d30,CODEX+GITHUB_ACTIONS,2026-08-11T10:18:27Z,最终head PR CI通过并按精确授权合并；合并后main@56bd581的CI通过。正式数据、staging/device/production未执行。
P0-018,18,M2,强监管默认关闭,未配置公司资质、模板和人工开关的高风险品类不能交易。,§5分类模板、§6商品价格库存,M2-P018,CI_PASS,CI_PASS,NEG-M2-018-01|NEG-M2-018-02|NEG-M2-018-03,N/A,REGULATED_CATEGORY_DISABLED；QUALIFICATION_REQUIRED；CATEGORY_TEMPLATE_INVALID,apps/api/test/supertest/regulated-category-controls-api.test.mjs|apps/api/test/unit/public-catalog-prisma-repository.test.mjs|tests/contracts/m2-p018-regulated-category.contract.test.mjs|tests/migrations/m2-p018-regulated-category-migration.contract.test.mjs|tests/e2e/p0/p0-018-regulated-category.spec.ts|docs/contracts/m2/M2-P018-regulated-category.md|artifacts/verification/M2-P018/regulated-category-default-deny.json,413adffe4e4276d3378e8218e99022193627e57a,CODEX,2026-08-12T01:23:01Z,PR #62精确head 37e9f10已授权合并；main@413adffe对应Actions run 31552935068成功。EXT-007正式数据及staging/device/production未执行。
P0-019,19,M2,上架商品分级调价,已上架商品供应价变更必须提交 SupplyPriceChangeRequest，审核通过前继续使用原价；平台零售价和集采销售价变更不产生审批单，立即或定时生效。三类变更均完整留痕且不回改历史订单。,§5分类模板、§6商品价格库存,M2-P019,CI_PASS,CI_PASS,NEG-M2-019-01|NEG-M2-019-02|NEG-M2-019-03|NEG-M2-019-04,N/A,UNAPPROVED_SUPPLY_PRICE_EFFECT；SALE_PRICE_APPROVAL_CREATED；PRICE_HISTORY_OVERWRITE；CONCURRENT_PRICE_EFFECT,apps/api/test/supertest/tiered-price-change-api.test.mjs|tests/contracts/m2-p019-tiered-price-change.contract.test.mjs|tests/migrations/m2-p019-tiered-price-change-migration.contract.test.mjs|tests/e2e/p0/p0-019-tiered-price-change.spec.ts|docs/contracts/m2/M2-P019-tiered-price-change.md|packages/contracts/openapi.json,5c66ed1147e44dad53ab8a29e77f7b71e692111c,GITHUB_ACTIONS,2026-08-12T05:02:32Z,PR #64最终head 5c66ed1经用户授权合并为main@d8da461；合并后main Actions run 31564696638/job 94014030429成功，P0-019保持CI_PASS。
P0-020,20,M3,用户首页,搜索、分类、活动、福利卡、配送区域和个人订单入口完整；不混入企业采购入口。,§7用户小程序,M3-P020,CI_PASS,CI_PASS,NEG-M3-P020-01|NEG-M3-P020-02|NEG-M3-P020-03|apps/api/test/supertest/consumer-home-catalog-api.test.mjs|apps/user-miniapp/test/home-build.test.mjs|tests/e2e/p0/p0-020-user-home.spec.ts,N/A,SUPPLY_PRICE_LEAK；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,docs/handoffs/2026-08-13-M3-P020-user-home.md,f2b64fa64520db4d5daf051b1a58d3f295519331,GITHUB_ACTIONS+CODEX,2026-08-14T00:18:14Z,PR #78 exact-head CI通过并经用户授权合并；main@f2b64fa post-merge run 31756365765成功。微信开发者工具、真机、staging和production仍未执行。
P0-021,21,M2,商品详情与价格隔离,个人详情只展示平台零售价，企业详情只展示集采销售价；页面、源码、接口响应、缓存和埋点均不包含供应价、供应价快照或内部毛利。,§5分类模板、§6商品价格库存,M2-P021,CI_PASS,CI_PASS,NEG-M2-021-01|NEG-M2-021-02|NEG-M2-021-03|NEG-M2-021-04|NEG-M2-021-05,N/A,SUPPLY_PRICE_RESPONSE_LEAK；SUPPLY_PRICE_CACHE_INDEX_LEAK；WRONG_CHANNEL_SALE_PRICE；AUTHENTICATION_REQUIRED；PRODUCT_NOT_SALEABLE,apps/api/test/supertest/product-detail-price-isolation-api.test.mjs|apps/api/test/unit/catalog-price-isolation-policy.test.mjs|apps/api/test/unit/public-catalog-prisma-repository.test.mjs|apps/user-miniapp/test/product-detail-build.test.mjs|apps/portal-web/test/enterprise-product-price-isolation.test.mjs|tests/contracts/m2-p021-product-detail-price-isolation.contract.test.mjs|tests/e2e/p0/p0-021-product-detail-price-isolation.spec.ts|docs/contracts/m2/M2-P021-product-detail-price-isolation.md|packages/contracts/openapi.json,7c9cb32da828cfe65bbd3918fb940d58f9c4c805,GITHUB_ACTIONS+CODEX_SELF_REVIEW,2026-08-12T07:33:42Z,PR #66精确head CI通过并经用户授权合并；merge b2fee842；合并后main run 31573819683/job 94041350239通过。staging、真实企业认证、device和production仍未执行。
P0-022,22,M3,个人与企业跨供应商订单,个人零售和企业采购均允许一次选择至少三个供应商商品，向公司提交一个主订单并完成一次结账；平台按 supplierId 准确生成各供应商履约子单。,§8企业采购、§9订单福利卡支付,M3-P022,CI_PASS,CI_PASS,NEG-M3-P022-01|NEG-M3-P022-02|NEG-M3-P022-03|apps/api/test/supertest/cross-supplier-order-api.test.mjs|apps/user-miniapp/test/cart-order-build.test.mjs,N/A,CROSS_OWNER_ACCESS；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,https://github.com/EasyStep-lee/flt1/pull/80|https://github.com/EasyStep-lee/flt1/actions/runs/31763921395,7cfde37b1e7946ee8241fbf9d08151850ec39838,GITHUB_ACTIONS+CODEX,2026-08-14T02:39:45Z,PR #80 exact-head CI通过并经授权合并；main@7cfde37 post-merge run 31763921395成功。
P0-023,23,M3,库存预扣,提交订单预扣库存，支付取消、失败或超时时库存与福利卡冻结均准确释放。,§8企业采购、§9订单福利卡支付,M3-P023,CI_PASS,NOT_EXECUTED,NEG-M3-P023-01|NEG-M3-P023-02|NEG-M3-P023-03|apps/api/test/unit/prisma-order-repository.test.mjs|apps/api/test/supertest/cross-supplier-order-api.test.mjs|tests/e2e/p0/p0-023-inventory-reservation.spec.ts,N/A,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,docs/contracts/m3/M3-P023-inventory-reservation.md|https://github.com/EasyStep-lee/flt1/actions/runs/31772198473,fa8439fe9926f4bd8ee690f922e2531aa2eff57b,GITHUB_ACTIONS+CODEX,2026-08-14T05:18:54Z,库存原子预扣/确认准备子行为已在main取得CI_PASS；福利卡冻结准确释放尚未实现，P0整项保持NOT_EXECUTED。
P0-024,24,M3,支付幂等,重复微信支付回调不重复扣福利卡、微信支付金额或共用库存，不重复生成个人跑腿任务、企业配送单或改变订单金额。,§8企业采购、§9订单福利卡支付,M3-P024,STAGING_PASS,NOT_EXECUTED,NEG-M3-P024-01|NEG-M3-P024-02|NEG-M3-P024-03|apps/api/test/unit/prisma-payment-repository.test.mjs|apps/api/test/supertest/payment-idempotency-api.test.mjs|tests/e2e/p0/p0-024-payment-idempotency.spec.ts,MANUAL-024,DUPLICATE_CALLBACK；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,docs/contracts/m3/M3-P024-payment-idempotency.md|https://github.com/EasyStep-lee/flt1/actions/runs/31786009896,1b15d5c4a019fe2868726284761c315454af2d5f,GITHUB_ACTIONS+CODEX,2026-08-14T09:05:06Z,纯微信幂等子行为已在main取得CI_PASS；福利卡扣减维度与真实微信/staging尚未执行，P0整项保持NOT_EXECUTED。
P0-025,25,M3,公司统一对客结账,个人和企业跨供应商主订单均只向公司结账；福利卡由公司统一发行记账，P0 在线现金付款只进入公司微信支付商户号，供应商不接触客户资金或分别收款，支付宝等其他通道请求被拒绝。,§8企业采购、§9订单福利卡支付,M3-P025,CI_PASS,NOT_EXECUTED,NEG-M3-P025-01|NEG-M3-P025-02|NEG-M3-P025-03|apps/api/test/unit/prisma-enterprise-remittance-repository.test.mjs|apps/api/test/supertest/company-unified-checkout-api.test.mjs|apps/api/test/supertest/payment-idempotency-api.test.mjs|tests/e2e/p0/p0-025-company-unified-checkout.spec.ts,N/A,INVALID_INPUT；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,docs/contracts/m3/M3-P025-company-unified-checkout.md|https://github.com/EasyStep-lee/flt1/actions/runs/31796060635,c4ab850ef7d6f6693376097350e2d0ddc27c6755,GITHUB_ACTIONS+CODEX,2026-08-14T11:34:03Z,PR #86已合并且main post-merge CI成功；自动化子行为为CI_PASS。福利卡真实发行记账、真实微信/银行与staging未执行，P0整项保持NOT_EXECUTED。
P0-026,26,M3,按原支付结构退款,公司发起退款，福利卡部分退原账户、微信支付部分退原微信支付交易，并生成资金、库存和对账影响记录。,§8企业采购、§9订单福利卡支付,M3-P026,STAGING_PASS,NOT_EXECUTED,apps/api/test/unit/refund-allocation-policy.test.mjs|apps/api/test/unit/refund-workspace-policy.test.mjs|apps/api/test/supertest/original-structure-refund-api.test.mjs|tests/migrations/m3-p026-original-structure-refund-migration.contract.test.mjs|tests/openapi/m3-p026-original-structure-refund.contract.test.mjs|tests/e2e/p0/p0-026-original-structure-refund.spec.ts|tests/e2e/p0/p0-026-refund-company-page.spec.ts,MANUAL-026,REFUND_OVERPAID；UNAUTHORIZED_OR_WRONG_OWNER；DUPLICATE_OR_STATE_CONFLICT,docs/contracts/m3/M3-P026-original-structure-refund.md|packages/db/prisma/migrations/20260814123000_m3_original_structure_refund/migration.sql|packages/contracts/openapi.json|https://github.com/EasyStep-lee/flt1/pull/88|https://github.com/EasyStep-lee/flt1/actions/runs/31812092914,45069687a7de58b6cc73e28bed7ebc0bf0911350,GITHUB_ACTIONS+CODEX,2026-08-14T15:06:05Z,自动化子行为LOCAL_PASS：福利卡/微信按原支付分配、累计不超额、原账户/原交易目标及微信原交易总额、同自然人禁自退、幂等/并发、前置失败关闭、未知结果不重发、资金/库存/对账影响追加。真实福利卡账本、真实微信退款及required STAGING_PASS未执行，P0整项保持NOT_EXECUTED。
P0-027,27,M3,门户宣传,公司介绍、供应链能力、案例、供应商合作、新闻和联系页面完整并支持 SEO。,§8企业采购、§9订单福利卡支付,M3-P027,CI_PASS,CI_PASS,apps/portal-web/test/publicity-seo-boundary.test.mjs|tests/e2e/p0/p0-027-portal-publicity.spec.ts|tests/e2e/p0/p0-001-single-merchant.spec.ts|tests/e2e/p0/p0-009-no-supplier-storefront.spec.ts,N/A,未授权slug返回404；公开响应不含供应价/完整客服手机；sitemap不含企业私有路由；robots禁止抓取登录交易区,docs/contracts/m3/M3-P027-portal-publicity.md|artifacts/verification/M3-P027/portal-publicity.json|https://github.com/EasyStep-lee/flt1/pull/90|https://github.com/EasyStep-lee/flt1/actions/runs/31862256846,512beedcb48ee90aa8e02386608e73cf614e2e48,GITHUB_ACTIONS+CODEX,2026-08-15T03:46:27Z,9个公开路由静态生成或SSG并以5分钟ISR更新；独立标题、canonical、Open Graph、JSON-LD、sitemap/robots、脱敏客服和供应价防泄露均有行为证据。M5 CMS、真实域名/DNS/TLS/ICP和正式客户素材不在本切片。
P0-028,28,M3,企业注册认证,正常企业可从门户“社区集采”入口注册，提交营业执照、联系人、开票和收货资料，并完成审核补正和认证。,§8企业采购、§9订单福利卡支付,M3-P028,CI_PASS,CI_PASS,apps/api/test/unit/enterprise-onboarding-policy.test.mjs|apps/api/test/supertest/enterprise-registration-api.test.mjs|tests/migrations/m3-p028-enterprise-registration-migration.contract.test.mjs|tests/e2e/p0/p0-028-enterprise-registration.spec.ts|apps/company-admin/test/shell-build.test.mjs,EXT-013_BLOCKED_EXTERNAL,默认短信验证器失败关闭且零写入；所有者字段拒绝；签名凭据隔离；信用代码重复；幂等异体冲突；同一自然人自审禁止；并发审核仅一个成功；敏感字段脱敏,docs/contracts/m3/M3-P028-enterprise-registration.md|artifacts/verification/M3-P028/enterprise-registration.json|https://github.com/EasyStep-lee/flt1/pull/92|https://github.com/EasyStep-lee/flt1/actions/runs/31872929851,542b50e565133ea2afcfc463b27fd15b0edbfc5f,GITHUB_ACTIONS+CODEX,2026-08-15T08:00:02Z,P0-028自动化技术行为通过；真实短信/对象存储、企业合同/协议、对公转账、开票法务财务口径由EXT-013保留BLOCKED_EXTERNAL，不升级为正式合规验收。
