MigrationID,Stage,PlannedName,DependsOn,Objects,Purpose,ForwardSteps,BackwardOrRecovery,DataBackfill,Verification,BackupRequired,Status,AppliedLocalAt,AppliedStagingAt,AppliedProductionAt,CommitSHA,EvidenceLink,Notes
MIG-010,M3,0301_consumer_identity_profile,MIG-009,ConsumerUser/WechatIdentity/Session/Address/Invoice/Message,个人用户,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,哈希/加密/归属索引；prisma validate；空库/升级路径dry-run；关键不变量SQL,YES,PLANNED,,,,,artifacts/verification/M3-000/m3-contract-freeze.json#migrationContract,M3-000仅冻结迁移目的、顺序与回滚；未创建或应用任何M3迁移
MIG-011,M3,20260815020000_m3_enterprise_identity_profile,MIG-010,EnterpriseCustomer/User/Address/Invoice/ProcurementProfile,企业客户,创建EnterpriseCustomer/User/Address/Invoice/StatusHistory/CertificationSnapshot/ProcurementProfile/OnboardingCommand；扩展企业认证审批枚举；添加唯一键、外键、版本检查及不可变触发器,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,NONE_NEW_TABLES_ONLY,Prisma validate；空库/升级/恢复/产品schema drift dry-run；SQL contract；信用代码唯一、companyId范围、版本和不可变触发器,YES,CREATED_LOCAL_REHEARSED,2026-08-15T08:00:02Z,,,542b50e565133ea2afcfc463b27fd15b0edbfc5f,packages/db/prisma/migrations/20260815020000_m3_enterprise_identity_profile/migration.sql|tests/migrations/m3-p028-enterprise-registration-migration.contract.test.mjs|artifacts/verification/M3-P028/enterprise-registration.json,prisma:migrate:dry-run PASS empty=2 upgrade=2 restore=2 product=29 cleanup=PASS；staging/production未应用；已发布后仅允许向前修复。
MIG-012,M3,20260814003000_m3_cross_supplier_orders,MIG-011,BuyerOrder/BuyerOrderItem/SupplierFulfillmentOrder/BuyerOrderEvent,跨供应商统一主订单与按supplierId履约拆分,创建订单、履约拆分、内部价格快照和不可变创建事件；不修改InventoryBalance,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用回退时保留新增表直到确认无新写入,无历史数据回填；仅新增空表、约束、索引和不可变事件触发器,prisma validate；migration chain；MySQL dry-run；金额/归属/幂等/不可变事件约束,YES,LOCAL_PASS,2026-08-14T01:49:30.853Z,,,4e5a468c423848a4a70a011147f3f8cbe93be3b7,packages/db/prisma/migrations/20260814003000_m3_cross_supplier_orders/migration.sql|docs/contracts/m3/M3-P022-cross-supplier-orders.md,M3-P022不进行库存预扣；MIG-013及福利卡/支付迁移保持PLANNED。
MIG-013,M3,20260814123000_m3_original_structure_refund,MIG-012B,RefundAuthorization/RefundTransaction/RefundTransactionEvent/RefundImpactRecord,消费已批准退款快照，按原福利卡/微信支付结构退款并追加资金、库存、对账影响,新增退款授权/交易/事件/影响表；金额/check/唯一键/FK；事件和影响记录不可变触发器；不创建M5售后审批流程,未发布时回退提交并重建开发库；已发布后不回改迁移，应用版本回退并使用向前修复迁移,无存量回填；只消费后续由M5或受控导入创建的APPROVED退款授权快照,prisma validate；空库/升级/恢复dry-run；schema drift；金额/check/唯一键/FK/不可变触发器；并发与幂等测试,YES,LOCAL_PASS,2026-08-14T15:06:05Z,,,45069687a7de58b6cc73e28bed7ebc0bf0911350,packages/db/prisma/migrations/20260814123000_m3_original_structure_refund/migration.sql|tests/migrations/m3-p026-original-structure-refund-migration.contract.test.mjs,MySQL演练empty=2/upgrade=2/restore=2/product=28/cleanup=PASS；staging/production未应用。
MIG-014,M3,0305_welfare_card_ledger,MIG-013,WelfareCardProgram/Batch/Code/Account/Ledger,福利卡,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,账本幂等、余额不变量；资金来源仅三类且无PERSONAL_RECHARGE；prisma validate；空库/升级dry-run；关键不变量SQL,YES,PLANNED,,,,,artifacts/verification/M3-000/m3-contract-freeze.json#migrationContract,M3-000仅冻结迁移目的、顺序与回滚；未创建或应用任何M3迁移
MIG-015,M3,20260815030000_m3_enterprise_procurement_order,MIG-014,EnterpriseProcurementOrder/EnterpriseWelfarePurchase,企业采购,创建EnterpriseProcurementOrder；BuyerOrder一对一；企业/采购员外键；地址/发票JSON快照；微信/对公转账付款路由与状态版本,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,NONE_NEW_TABLE_ONLY,Prisma validate；空库/升级/恢复/product drift dry-run；快照不可变触发器；归属、付款路由和版本并发测试,YES,CREATED_LOCAL_REHEARSED,2026-08-15T09:45:41.309Z,,,8d1d67ad451e4e41e7341e2730915721b3fe0c78,packages/db/prisma/migrations/20260815030000_m3_enterprise_procurement_order/migration.sql|tests/migrations/m3-p029-enterprise-procurement-migration.contract.test.mjs|artifacts/verification/M3-P029/unified-enterprise-procurement.json,prisma:migrate:dry-run PASS empty=2 upgrade=2 restore=2 product=30 cleanup=PASS；staging/production未应用；已发布后仅允许向前修复。
MIG-016,M4,0401_runner_delivery,MIG-015,RunnerApplication/Runner/RunnerSession/DeliveryTask/AssignmentLog/NodeLog,个人跑腿,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,子单至多一个任务、并发抢单；prisma validate；空库/升级路径dry-run；关键不变量SQL,YES,PLANNED,,,,,,
MIG-017,M4,0402_delivery_exception_proof,MIG-016,DeliveryException/DeliveryProof/RunnerCompensationRecord,配送证据,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,追加日志与保留策略；prisma validate；空库/升级路径dry-run；关键不变量SQL,YES,PLANNED,,,,,,
MIG-018,M4,0403_enterprise_delivery,MIG-017,EnterpriseDeliveryOrder/Item/NodeLog/CompanyDeliveryResource,企业统一配送,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,与DeliveryTask类型隔离；prisma validate；空库/升级路径dry-run；关键不变量SQL,YES,PLANNED,,,,,,
MIG-019,M5,0501_aftersales_responsibility,MIG-018,AfterSale领域表/证据/责任快照（阶段冻结命名）,售后,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,订单项可退数量与责任版本；prisma validate；空库/升级路径dry-run；关键不变量SQL,YES,PLANNED,,,,,,
MIG-020,M5,0502_supplier_statements,MIG-019,SupplierStatement/StatementItem/OfflineSettlementRecord,对账结算,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,账期唯一、已确认不可覆盖；prisma validate；空库/升级路径dry-run；关键不变量SQL,YES,PLANNED,,,,,,
MIG-021,M5,0503_portal_content,MIG-020,PortalContent/Revision/Navigation/Media/BusinessInquiry,门户CMS,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,slug唯一、发布revision不可变；发布/下线事件可按slug失效；prisma validate；空库/升级dry-run；关键不变量SQL,YES,PLANNED,,,,,,
MIG-022,M5,0504_export_governance,MIG-021,ExportJob及审计索引/保留策略,受控导出,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,阶段实现时明确批次、断点、校验和,短时下载和字段白名单；prisma validate；空库/升级路径dry-run；关键不变量SQL,YES,PLANNED,,,,,,
MIG-012A,M3,20260814053000_m3_payment_idempotency,MIG-012,PaymentTransaction/PaymentAttempt/OrderPaymentAllocation/PaymentNotification/PaymentOutbox/BuyerOrderEvent,微信预支付与回调幂等；支付成功原子确认订单、履约、共享库存与稳定outbox,新增支付唯一键与追加通知；扩展BuyerOrderEvent；不创建配送或福利卡账本,未发布时回退提交并重建开发库；已发布后不回改迁移，应用版本回退并以向前修复迁移处理,无存量回填；只为新支付命令写入,prisma validate；空库/升级/恢复dry-run；schema drift；唯一键/金额/check/不可变触发器；focused并发测试,YES,LOCAL_PASS,2026-08-14T08:02:12Z,,,28718604e5f36b77845856f3cbb354af34b9971e,packages/db/prisma/migrations/20260814053000_m3_payment_idempotency/migration.sql|tests/migrations/m3-p024-payment-idempotency-migration.contract.test.mjs,MySQL演练empty=2/upgrade=2/restore=2/product=26/cleanup=PASS；staging/production未应用。
MIG-012B,M3,20260814092000_m3_company_unified_checkout,MIG-012A,EnterpriseRemittanceSubmission/EnterpriseRemittanceReview/BuyerOrderEventActorType,企业对公转账凭证版本化；公司财务追加审核；确认公司应收并原子推进订单、库存、履约与outbox,新增提交/审核表、金额和版本约束、审核不可变触发器；扩展订单事件与公司操作者；不创建配送、供应商钱包或其他支付通道,未发布时回退提交并重建开发库；已发布后不回改迁移，应用版本回退并使用向前修复迁移,无存量回填；只处理新企业转账凭证,prisma validate；空库/升级/恢复dry-run；schema drift；唯一键/check/不可变触发器；focused并发与幂等测试,YES,LOCAL_PASS,2026-08-14T10:55:05Z,,,09481763d3c6f0b48608a8529ecd58621ce707f2,packages/db/prisma/migrations/20260814092000_m3_company_unified_checkout/migration.sql|tests/migrations/m3-p025-company-unified-checkout-migration.contract.test.mjs,MySQL演练empty=2/upgrade=2/restore=2/product=27/cleanup=PASS；staging/production未应用。
MIG-015A,M3,20260816010000_m3_supplier_fulfillment_preparation,MIG-015,SupplierFulfillmentOrder升级/SupplierFulfillmentNodeLog/SupplierFulfillmentReadinessOutbox,供应商备货与渠道隔离移交,升级现有order+supplier拆单；回填subOrderNo/渠道/供应金额/取货点快照；增加版本、节点追加日志和readiness outbox；不创建M4配送实体,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本回退时保持新增列/表兼容窗口,用完整supplier UUID生成唯一subOrderNo；从订单场景派生渠道；从已审核取货点快照；历史激活状态兼容回填,Prisma validate；空库/升级/恢复/product drift dry-run；迁移契约；子单唯一/版本/金额/移交约束；cleanup PASS,YES,CREATED_LOCAL_REHEARSED,2026-08-16T01:44:20.2796910Z,,,LOCAL_WORKTREE,packages/db/prisma/migrations/20260816010000_m3_supplier_fulfillment_preparation/migration.sql|tests/migrations/m3-p031-supplier-fulfillment-migration.contract.test.mjs|artifacts/verification/M3-P031/supplier-fulfillment-preparation.json,prisma:migrate:dry-run PASS empty=2 upgrade=2 restore=2 product=31 cleanup=PASS；staging/production未应用；已发布后仅允许向前修复。
