Entity,Field,RawDefinition,Position,SuggestedType,Required,UnitOrFormat,Sensitivity,Visibility,ForbiddenExposure,Validation,HistoryRule,Stage,P0,Source,Status
PortalContent,status,status,10,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,publishedVersionId,publishedVersionId?,11,String/UUID,NO,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,publishedAt,publishedAt?,12,DateTime,NO,ISO-8601+明确时区,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContentRevision,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContentRevision,portalContentId,portalContentId,2,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContentRevision,version,version,3,Int,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContentRevision,contentSnapshot,contentSnapshot,4,Json,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContentRevision,changeSummary,changeSummary,5,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContentRevision,createdBy,createdBy,6,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContentRevision,createdAt,createdAt,7,DateTime,YES,ISO-8601+明确时区,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,location,location,2,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,label,label,3,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,linkType,linkType,4,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,linkTarget,linkTarget,5,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,parentId,parentId?,6,String/UUID,NO,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,sortWeight,sortWeight,7,Int,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,visibilityRule,visibilityRule,8,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalNavigationItem,status,status,9,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalMediaAsset,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalMediaAsset,storageKey,storageKey,2,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalMediaAsset,mediaType,mediaType,3,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalMediaAsset,altText,altText,4,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalMediaAsset,usageRightsNote,usageRightsNote,5,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalMediaAsset,uploadedBy,uploadedBy,6,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalMediaAsset,status,status,7,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,inquiryType,inquiryType,2,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,enterpriseName,enterpriseName,3,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,contactName,contactName,4,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,contactMobileEncrypted,contactMobileEncrypted,5,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,demandSummary,demandSummary,6,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,sourcePage,sourcePage,7,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,consentVersion,consentVersion,8,Int,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,status,status,9,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
BusinessInquiry,createdAt,createdAt,10,DateTime,YES,ISO-8601+明确时区,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-074,P0-076",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerUser,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerUser,companyId,companyId,2,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerUser,mobileEncrypted,mobileEncrypted?,3,String,NO,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerUser,nickname,nickname?,4,String,NO,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerUser,avatarAssetId,avatarAssetId?,5,String/UUID,NO,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerUser,status,status,6,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerUser,privacyConsentVersion,privacyConsentVersion,7,Int,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerUser,lastLoginAt,lastLoginAt?,8,DateTime,NO,ISO-8601+明确时区,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerWechatIdentity,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerWechatIdentity,consumerUserId,consumerUserId,2,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerWechatIdentity,appId,appId,3,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerWechatIdentity,openIdHash,openIdHash,4,String,YES,待M阶段冻结,SECRET_OR_CREDENTIAL,仅后端最小权限读取，响应永不返回,禁止提交、日志、快照和前端下发,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerWechatIdentity,unionIdHash,unionIdHash?,5,String,NO,待M阶段冻结,SECRET_OR_CREDENTIAL,仅后端最小权限读取，响应永不返回,禁止提交、日志、快照和前端下发,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerWechatIdentity,status,status,6,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerWechatIdentity,boundAt,boundAt,7,DateTime,YES,ISO-8601+明确时区,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerSession,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerSession,consumerUserId,consumerUserId,2,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerSession,sessionHash,sessionHash,3,String,YES,待M阶段冻结,SECRET_OR_CREDENTIAL,仅后端最小权限读取，响应永不返回,禁止提交、日志、快照和前端下发,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerSession,deviceInfo,deviceInfo,4,Json,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerSession,ip,ip,5,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerSession,expiresAt,expiresAt,6,DateTime,YES,ISO-8601+明确时区,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerSession,revokedAt,revokedAt?,7,DateTime,NO,ISO-8601+明确时区,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerAddress,id,id,1,String/UUID,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerAddress,consumerUserId,consumerUserId,2,String/UUID,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerAddress,consignee,consignee,3,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerAddress,mobileEncrypted,mobileEncrypted,4,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerAddress,provinceCode,provinceCode,5,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
ConsumerAddress,cityCode,cityCode,6,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M3,待切片细化,综合方案§13核心数据模型,DRAFT_FROM_SCHEME
